Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,"Dancing With Your Ghost","Dancing With Your Ghost","Sasha Alex Sloan",2019-06-28,197732,77,false,,2022-05-19T22:02:00Z,"","RCA Records Label",0.629,0.328,11,-8.284,1,0.029,0.768,0.000025,0.103,0.389,74.953,4
spotify:track:2qxmye6gAegTMjLKEBoR3d,"Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,82,false,,2022-05-19T22:02:00Z,"","2018",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
spotify:track:1Xi84slp6FryDSCbzq4UCD,"Arcade","Arcade","Duncan Laurence",2019-03-07,183624,76,false,,2022-05-19T22:02:00Z,"","Universal Music, a division of Universal International Music BV",0.459,0.331,9,-12.603,0,0.0421,0.817,0.00104,0.135,0.271,72.023,3
spotify:track:7F1CiKqrY44kh5cDqwHOnx,"Love Is Gone - Acoustic","Love Is Gone (Acoustic)","SLANDER,Dylan Matthew",2019-11-13,176971,75,false,,2022-05-19T22:02:00Z,"melodic bass,edm,future bass,dubstep","Gud Vibrations / Create Music Group Inc.",0.541,0.153,6,-10.654,1,0.0303,0.882,0.00000166,0.16,0.359,139.644,4
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,"WILDFLOWER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,261466,93,false,,2024-05-28T09:18:43Z,"","Darkroom/Interscope Records",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:6lanRgr6wXibZr8KgzXxBl,"a thousand years","a thousand years","Christina Perri",2011-10-18,285120,85,false,,2022-05-19T22:02:00Z,"soft pop","Atlantic Records",0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3
spotify:track:3cNjgVBKTJ1SvKhunrCdVy,"Please Don't Go","Please Don't Go","Joel Adams",2015-11-06,210580,64,false,,2022-05-19T22:02:00Z,"","Will Walker Records, LLC",0.513,0.768,4,-4.868,0,0.0587,0.0118,0.0000194,0.294,0.235,84.264,4
spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,"Dusk Till Dawn (feat. Sia) - Radio Edit","Dusk Till Dawn (feat. Sia) [Radio Edit]","ZAYN,Sia",2017-09-07,239000,72,false,,2022-05-19T22:02:00Z,"","RCA Records Label",0.259,0.437,11,-6.589,0,0.0386,0.102,0.00000132,0.106,0.0951,180.042,4
spotify:track:1almCHdsfikRPfVB9VrEdT,"Little Do You Know","It's About Us","Alex & Sierra",2014-10-06,185200,71,false,,2022-05-19T22:02:00Z,"","Syco Music/Columbia Records",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,4
spotify:track:5DqdesEfbRyOlSS3Tf6c29,"It's You","YOU","Ali Gatie",2019-11-08,212606,76,false,,2022-05-19T22:02:00Z,"","Warner Records",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
spotify:track:312zSwwbPU7C3sTmro4Wx9,"It's Ok If You Forget Me","It's Ok If You Forget Me","Astrid S",2020-09-18,204989,57,false,,2022-05-19T22:02:00Z,"norwegian pop","Universal Music AS",0.562,0.379,6,-7.625,1,0.231,0.526,0,0.151,0.258,171.848,4
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,88,false,,2022-05-19T22:02:00Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:37G4GK7vIzFjGWsDTWcA85,"Dynasty","Dynasty","MIIA",2015-09-22,225515,76,false,,2022-05-19T22:02:00Z,"","Position Music / Recurrent Records",0.492,0.594,8,-4.403,0,0.0377,0.256,0,0.0759,0.304,123.768,4
spotify:track:5vjLSffimiIP26QG5WcN2K,"Hold On","Hold On","Chord Overstreet",2017-02-03,198853,79,false,,2022-05-19T22:02:00Z,"","Safehouse Records / Island Records",0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4
