Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5bevVJ1zMWutZ3rQulAp62,"Yaaro Ucchikilai Meley","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2016-12-31,177866,0,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:05:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Divo",0.646,0.756,8,-5.316,0,0.0445,0.0228,0.00645,0.14,0.502,179.998,4
spotify:track:4jR2HtPxTfOmxHXJhIQL6a,"Anbe Anbin","Peranbu","Karthik",2018-07-16,189320,24,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:06:11Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Saregama",0.368,0.385,5,-8.717,0,0.0343,0.819,0.00169,0.0764,0.557,68.278,4
spotify:track:0mKvXWnCLlKoIKBOb3xECQ,"Irul Vaanam","Irandam Ulagaporin Kadaisi Gundu (Original Motion Picture Soundtrack)","Tenma,Susha",2019-11-20,281500,5,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:06:26Z,"tamil indie,tamil pop,tamil hip hop,kollywood","Think Music",0.779,0.413,4,-7.881,0,0.0284,0.64,0.0209,0.105,0.37,104.973,4
spotify:track:6Jxd7wVisXOT306ncXCHzt,"Para Para Para Pattampochi","Tamil M.A.","Rahul",2009-11-21,248733,39,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:06:48Z,"telugu pop,tollywood","T-Series",0.795,0.604,8,-6.632,1,0.0315,0.649,0.00554,0.143,0.885,115.027,3
spotify:track:2Lf2o6HXZn5ozB5DTJWPrn,"Do Anything","How to Name It? (Original Motion Picture Soundtrack)","Ilaiyaraaja",1986-01-12,329351,14,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:07:08Z,"tamil pop,kollywood","IMM",0.345,0.175,4,-16.145,0,0.0357,0.771,0.236,0.113,0.211,153.995,3
spotify:track:3gJbCMoDT9rUmPS1GPd6kn,"Kannamma","Kaala (Tamil) (Original Motion Picture Soundtrack)","Pradeep KumarDheeAnanthu",2018-05-09,289853,0,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:07:28Z,"","Divo",0.585,0.271,4,-12.56,0,0.0413,0.744,0.00137,0.168,0.438,124.895,3
spotify:track:3ba367TcVcRX5EE42ND5am,"Vazhi Parthirundhen","Atta Kathi (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep Kumar",2011-12-09,176666,42,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:07:39Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.578,0.394,4,-8.67,0,0.0252,0.89,0.00743,0.0969,0.342,89.949,4
spotify:track:6Ri7KvjsfiNzRFQ15dqCcS,"Kaarkuzhal Kadavaiye","VadaChennai (Original Motion Picture Soundtrack)","Sriram ParthasarathySanthosh NarayananPradeep Kumar",2018-09-23,312378,0,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:07:47Z,"","Divo",0.705,0.508,4,-10.55,0,0.0631,0.354,0.000126,0.108,0.412,129.983,4
spotify:track:3eLF7e1ODaSX82yKUOuV3i,"Aasai Oru Pulveli","Atta Kathi (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep Kumar,Kalyani Nair",2011-12-09,230268,53,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:08:04Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.595,0.279,9,-8.837,1,0.03,0.786,0.000313,0.138,0.204,115.92,4
spotify:track:6xwoWItdg0USGS4YHpp5pV,"Thaniye","Thaniye (From Minnal Murali)","Sreekanth Hariharan,Haripriya",2021-11-23,323805,16,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:08:49Z,"tamil pop,kollywood,telugu pop,tollywood,tamil dance","Muzik247",0.417,0.34,5,-11.336,1,0.0314,0.83,0.00256,0.158,0.28,121.451,3
spotify:track:4LK8863ScRhhT6hitFfBI5,"Aval","Manithan (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep,Priya Hemesh",2016-04-08,266639,66,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:14Z,"tamil pop,kollywood,tamil hip hop,tamil dance,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.324,0.457,2,-8.683,1,0.0336,0.271,0.0000265,0.433,0.225,99.902,4
spotify:track:6R0FwF48PO2BrdZpLeWi42,"Nee Kavithaigala","Maragatha Naanayam (Original Motion Picture Soundtrack)","Dhibu Ninan Thomas,Pradeep Kumar",2017-01-19,276250,69,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:23Z,"tamil pop,kollywood","Think Music",0.58,0.541,4,-5.646,0,0.0271,0.451,0.00000264,0.121,0.413,129.968,3
spotify:track:1t99uhmctVeG4FbC5giRCM,"Idhayam Love (Megamo Aval)","Meyaadha Maan (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep Kumar,Ananthu",2017-09-08,291121,58,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:30Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.296,0.298,0,-10.167,1,0.0295,0.777,0.0000066,0.0909,0.243,178.292,4
spotify:track:19nEFsswIftvopxVMUAM9b,"Agayam Theepiditha","Madras (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep Kumar",2014-06-23,230062,60,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:35Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.514,0.423,0,-8.388,1,0.04,0.87,0,0.0785,0.362,117.87,4
spotify:track:5FaFha5QbFcF5uqEeOAh71,"Manasula Soora Kaathey","Cuckoo (Original Motion Picture Soundtrack)","Santhosh Narayanan,Sean Roldan,Divya Ramani",2014-02-18,261003,53,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:44Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.461,0.322,11,-11.706,0,0.0333,0.933,0.0382,0.0691,0.31,81.608,4
spotify:track:6GUNe5xxE47aymPdnq9DJz,"Kaatru Veliyidai Kannamma","Kaatru Veliyidai Kannamma","B Prasanna,Pradeep Kumar,Gowtham Bharadwaj,Harish Venkat,Keerthana Vaidyanathan,Shakthisree Gopalan,Susha,Sharanya Shrinivas",2017-04-28,313450,0,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:09:59Z,"tamil indie,tamil pop,kollywood,tollywood,telugu pop,malayalam pop,mollywood,tamil hip hop","VMS Music Records And Publishing Sdn Bhd",0.614,0.313,2,-8.374,1,0.029,0.544,0.0000121,0.091,0.211,116.067,4
spotify:track:33URgXLE4IQdDSyG4zc4MY,"Iravingu Theevai","96 (Original Motion Picture Soundtrack)","Govind Vasantha,Chinmayi,Pradeep Kumar",2018-08-17,221250,55,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:10:07Z,"tamil pop,mollywood,kollywood,malayalam pop,malayalam hip hop,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Think Music",0.291,0.328,4,-11.244,0,0.0533,0.922,0.00261,0.0999,0.111,79.993,4
spotify:track:0FS8IXxOxUVX24aelwkBJv,"Agasatha","Cuckoo (Original Motion Picture Soundtrack)","Santhosh Narayanan,Kalyani Nair,Pradeep Kumar",2014-02-18,297783,59,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:10:13Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.546,0.33,2,-9.346,0,0.0283,0.928,0.00000246,0.154,0.569,129.924,4
spotify:track:5OcuwbMim2wXf05xGWJtaU,"Kadhal Kanave","Mundasupatti (Original Motion Picture Soundtrack)","Sean Roldan,Pradeep Kumar,Kalyani Nair",2014-04-25,248211,60,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:10:18Z,"tamil pop,kollywood","Think Music",0.584,0.562,2,-5.35,1,0.0275,0.435,0.0000104,0.254,0.171,90.105,4
spotify:track:0JZPgDCigVlkSbKz16ec4l,"Mogathirai - From Pizza","I Love Pradeep Kumar","Santhosh Narayanan,Pradeep Kumar",2018-06-12,227017,46,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:10:32Z,"tamil pop,kollywood,tamil hip hop,tamil dance","Think Music",0.522,0.264,6,-9.428,0,0.0415,0.633,0.0000403,0.1,0.505,199.686,4
spotify:track:7rU7uLC3OCfxCe7Hhh6FXj,"Naetru Aval Irundhal","Maryan (Original Motion Picture Soundtrack)","A.R. Rahman,Chinmayi,Vijay Prakash",2013-05-13,298626,57,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:50:25Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,marathi pop,kannada pop,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.377,0.271,7,-13.725,1,0.029,0.869,0.0000144,0.0887,0.172,79.743,3
spotify:track:3QaRaJsFZbejL9utWKtI34,"Mayava Thooyava (From Iravin Nizhal)","Iravin Nizhal (Original Motion Picture Soundtrack)","A.R. Rahman,Shreya Ghoshal",2022-06-06,248650,0,false,31bemyfvq44yv35fzd4a5v6ityda,2022-10-10T16:50:39Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop","Dhwani Music Pvt. Ltd",0.476,0.299,9,-10.767,1,0.0351,0.93,0.0000894,0.0724,0.352,135.962,3
