Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3dPtXHP0oXQ4HCWHsOA9js,"夜に駆ける","夜に駆ける","YOASOBI",2019-12-15,261013,70,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,anime","YOASOBI",0.67,0.874,8,-5.221,1,0.0305,0.00231,0.0000172,0.3,0.789,130.041,4
spotify:track:3A4FRzgve9BjfKbvVXRIFO,"Sparkle - movie ver.","Your Name.","RADWIMPS",2016-08-24,537653,67,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"anime,j-pop,j-rock","EMI Records",0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4
spotify:track:5QseXDzPvtjdeaWNhYbm0m,"Haru wo Tsugeru","Haru wo Tsugeru","yama",2020-04-17,196497,60,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,anime,j-rock","yama",0.548,0.871,11,-5.377,1,0.123,0.0397,0,0.357,0.487,120.009,4
spotify:track:0Ji4kkRLmjlf93QttZXDO3,"He cheated on me but I still like you.","He cheated on me but I still like you.","Riria.",2020-05-22,213333,47,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,anime","riria_0000",0.621,0.373,1,-9.286,1,0.0437,0.801,0.0000145,0.0983,0.492,80.924,4
spotify:track:4wel6DQu0dMVBRVn2ZTPoy,"白日","Ceremony","King Gnu",2020-01-15,276373,0,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.605,0.891,1,-3.242,1,0.115,0.562,0,0.322,0.697,93.011,4
spotify:track:6k90ibcH1z8Mx9684nfuLW,"お勉強しといてよ","お勉強しといてよ","ZUTOMAYO",2020-05-15,280720,52,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,j-rock,anime,japanese indie","Universal Music LLC",0.699,0.875,8,-3.291,1,0.0558,0.083,0.0000263,0.103,0.863,132.007,4
spotify:track:6etVkKF8FAy4jXcSl8jlEO,"東京フラッシュ","strobo","Vaundy",2020-05-27,258858,0,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,japanese indie,j-rock","SDR Inc.",0.628,0.634,2,-5.508,1,0.0322,0.00255,0.00000724,0.0456,0.606,97.99,4
spotify:track:0UvVYfQJFnELmeBfnuF3f6,"Toy","Happiness and correct answer","takayan",2020-02-22,197079,48,true,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,j-rap,japanese indie","Hentai Gorizal Records",0.632,0.421,7,-8.909,0,0.113,0.808,0.00189,0.116,0.536,83.041,4
spotify:track:7HneEBTvTra2CRYsxgMOAi,"ハルジオン","ハルジオン","YOASOBI",2020-05-11,198000,59,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"j-pop,anime","YOASOBI",0.686,0.902,0,-2.657,0,0.034,0.0591,0,0.333,0.901,130.02,4
spotify:track:0eTQEpSLPnZhuahEuf1IE1,"Demon Slayer (Rengoku Theme)","Demon Slayer Lofi","A Samurai In Tokyo",2022-01-07,109523,0,false,31ath6qgwdj4g3qrgk5v3rfrcv4e,2022-12-10T13:45:13Z,"anime","A Samurai In Tokyo",0.725,0.319,4,-12.432,0,0.038,0.759,0.821,0.186,0.298,126.008,4
