Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7fttjqzmvgvpRQoOzyYng3,"Po Indru Neeyaga","Velai Illa Pattadhaari (Original Motion Picture Soundtrack)","Anirudh Ravichander,Dhanush",2016-01-14,223326,0,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:19:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Divo",0.484,0.593,3,-3.788,0,0.0272,0.262,0,0.0813,0.46,144.863,3
spotify:track:54lWhyO1mesDCvdQXiafu0,"","","",0000,0,0,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:19:56Z,"","",0.399,0.715,2,-4.68,1,0.0456,0.138,0,0.26,0.3,157.69,4
spotify:track:4I4h05RA1CjNB8JE5oebbQ,"Kaadhal Oru","Oru Kal Oru Kannadi (Original Motion Picture Soundtrack)","Harris Jayaraj,Aalaap Raju,Hemachandra Vedala,Sunitha Sarathy",2012-03-05,367533,46,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:20:21Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.844,0.424,7,-8.956,0,0.0395,0.513,0,0.146,0.345,113.907,4
spotify:track:6EicSxPSvApCmLMYxLqy00,"Akila Akila","Oru Kal Oru Kannadi (Original Motion Picture Soundtrack)","Harris Jayaraj,Aalaap Raju,Chinmayi",2012-03-05,284653,53,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:20:25Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,marathi pop,bollywood,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.804,0.784,9,-5.441,0,0.0356,0.139,0.000562,0.0685,0.791,123.971,4
spotify:track:6s0xsIyKwMJKiWhMEixett,"Kaatru Veesum","Neram (Original Motion Picture Soundtrack)","Rajesh Murugesan,Haricharan",2013-05-03,178693,47,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:20:31Z,"mollywood,malayalam pop,tamil dance,tamil pop,tollywood,telugu pop,kollywood,kannada pop","Think Music",0.621,0.425,7,-10.041,1,0.0353,0.259,0,0.129,0.494,133.027,4
spotify:track:1yjyQoDV9KSiVFTQeMCmON,"Pogatha Yennavittu - From Vikram Vedha","I Love Pradeep Kumar","Sam C.S.,Pradeep Kumar,Nega Venugopal",2018-06-12,281428,45,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:21:29Z,"tamil pop,kollywood,malayalam hip hop,malayalam pop","Think Music",0.381,0.577,9,-7.02,1,0.0933,0.674,0,0.0903,0.423,167.719,4
spotify:track:6cZcVAjgELRB6w9h6jaYtJ,"Thozhiya","Kadhalil Vizhundhen","Harish Raghavendra,Sri Charan,Mega Chorus",2007-12-07,296724,58,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:21:34Z,"tamil pop,kollywood,telugu pop,tollywood","Times Music",0.697,0.875,8,-1.842,1,0.0475,0.474,0.00000168,0.125,0.808,96.013,4
spotify:track:3SqFwkThWNoyIiU62aDpTz,"Yeppadi Irruntha","Santhosh Subramaniyam (Original Motion Picture Soundtrack)","Tippu,Gopika Poornima,Viveka",2008-05-21,265221,50,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:21:46Z,"tamil dance,tamil pop,kannada pop,kollywood,telugu pop,tollywood,sandalwood","Bravo",0.819,0.812,7,-3.902,0,0.136,0.3,0,0.0749,0.839,105.003,4
spotify:track:6mmGbsCqf5e8vxv1WodYIG,"Yathe Yathe","Aadukalam (Original Motion Picture Soundtrack)","G. V. Prakash",2010-11-08,344360,68,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:21:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.454,0.606,9,-4.605,0,0.0604,0.791,0,0.0888,0.473,104.973,3
spotify:track:0xttqqTj7ZAGyVkfOYxQ4F,"Nee Paartha Vizhigal - The Touch of Love","3 (Original Motion Picture Soundtrack)","Anirudh Ravichander,Vijay Yesudas,Shweta Mohan",2011-12-23,264506,71,false,uhlaeavsh9idrab6zazbep4ju,2022-12-27T10:22:03Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.665,0.596,9,-6.969,0,0.0278,0.293,0.0000367,0.247,0.644,110.055,4
