Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3LP4QpKptfe2yEC7oG5iNa,"Ennai Vittu (From Love Today)","Ennai Vittu (From Love Today)","Yuvan Shankar Raja,Sid Sriram",2022-08-12,244669,63,false,,2022-08-12T16:23:40Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.602,0.388,0,-12.098,0,0.0536,0.334,0.000037,0.126,0.3,140.006,4
spotify:track:3MELuNUntwMZwsNK9zNxJi,"Kannadi Poove","Retro [TAMIL]","Santhosh Narayanan,Vivek",2025-04-18,261049,65,false,,2025-04-21T12:04:52Z,"tamil pop,kollywood,tamil hip hop,tamil dance","T-Series",0.434,0.465,9,-6.098,0,0.0538,0.662,0.0000199,0.089,0.569,173.853,4
spotify:track:7k2EnB0F4TvaCvPYSesXev,"Yendi Vittu Pona - From Dragon","Yendi Vittu Pona (From Dragon)","Leon James,Silambarasan TR,KO. Sesha",2025-01-28,258620,62,false,,2025-01-28T13:31:33Z,"tamil pop,kollywood,tollywood,telugu pop,tamil dance,tamil hip hop","Think Music",0.645,0.748,5,-6.547,0,0.149,0.567,0.00000303,0.106,0.606,173.983,4
spotify:track:6xOESqHzX6Sc4SKqEwjOy1,"Ezhutha Kadhaiyo","Lover (Original Motion Picture Soundtrack)","Sean Roldan,Meha Agarwal",2024-02-02,194509,60,false,,2024-11-08T12:03:00Z,"tamil pop,kollywood","Think Music",0.469,0.637,0,-8.2,1,0.0307,0.642,0.0000492,0.124,0.26,152.798,3
spotify:track:3yqkV2Vd0u4l9lUnlaFNZT,"Porkanda Singam","Vikram (Original Motion Picture Soundtrack)","Anirudh Ravichander,Ravi G",2022-05-15,198000,56,false,,2022-05-15T15:53:50Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.527,0.591,5,-7.632,0,0.0282,0.626,0.00798,0.385,0.543,119.932,3
spotify:track:0CItrSnzP30vmINMdW7kM7,"Para Para (Sad)","Neerparavai (Original Motion Picture Soundtrack)","N.R. Raghunanthan,Chinmayi",2012-10-10,319293,61,false,,2025-06-16T17:28:45Z,"tamil pop,kollywood,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.717,0.454,2,-3.243,0,0.0326,0.875,0,0.165,0.626,119.869,4
spotify:track:4f4HhzYl0DrPJZc9AoqNGN,"Ularal - From Kudumbasthan","Ularal (From Kudumbasthan)","vaisagh,Ravi G,Mohan Rajan",2025-01-27,181666,45,false,,2025-01-29T14:51:18Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Think Music",0.524,0.26,3,-14.396,0,0.0289,0.977,0.00116,0.11,0.425,107.996,3
spotify:track:19D5VyqRPp6C1qvVW19kfj,"Thaabangale","96 (Original Motion Picture Soundtrack)","Govind Vasantha,Chinmayi,Pradeep Kumar",2018-08-17,238000,54,false,,2021-10-02T08:45:43Z,"tamil pop,mollywood,kollywood,malayalam pop,malayalam hip hop,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Think Music",0.338,0.327,0,-10.631,0,0.0331,0.933,0.134,0.166,0.286,89.725,4
spotify:track:71Zx4rZVZhle29DVAyuIcS,"Edharkaga Marubadi","Retro [TAMIL]","Punya Selva,Santhosh Narayanan,Vivek",2025-04-18,257045,56,false,,2025-04-21T12:04:52Z,"tamil pop,kollywood,tamil hip hop,tamil dance","T-Series",0.535,0.299,0,-8.929,0,0.0309,0.977,0.00168,0.183,0.199,119.876,4
spotify:track:2gp0OtnltLdrcNhKHVL2qM,"Nee Nenacha","Mr. Local (Original Motion Picture Soundtrack)","Hiphop Tamizha,Sid Sriram",2019-05-13,268683,59,false,,2021-10-02T08:45:43Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,tollywood,telugu pop","Think Music",0.329,0.408,0,-10.672,1,0.0629,0.575,0,0.115,0.408,182.961,4
