Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0b11D9D0hMOYCIMN3OKreM,"Into Your Arms (feat. Ava Max)","Into Your Arms (feat. Ava Max)","Witt Lowry,Ava Max",2018-06-08,186022,73,true,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:07Z,"","Witt Lowry",0.504,0.788,3,-4.113,0,0.214,0.0132,0,0.363,0.228,169.907,4
spotify:track:02MWAaffLxlfxAUY7c5dvx,"Heat Waves","Dreamland (+ Bonus Levels)","Glass Animals",2020-08-06,238805,12,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:10Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"STAY (with Justin Bieber)","F*CK LOVE 3: OVER YOU","The Kid LAROI,Justin Bieber",2021-07-23,141805,12,true,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:13Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:1J14CdDAvBTE1AJYUOwl6C,"Arcade","Small Town Boy (Track By Track)","Duncan Laurence",2020-11-12,185146,76,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:15Z,"","Universal Music, a division of Universal International Music BV",0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,3
spotify:track:08bNPGLD8AhKpnnERrAc6G,"FRIENDS","FRIENDS","Marshmello,Anne-Marie",2018-02-09,202620,44,true,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:19Z,"edm","Atlantic Records UK",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4
spotify:track:1SOClUWhOi8vHZYMz3GluK,"Infinity","Feel Something","Jaymes Young",2017-06-23,237720,79,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:25Z,"","Atlantic Records",0.671,0.673,11,-6.941,0,0.0444,0.148,0.0000529,0.304,0.494,121.963,4
spotify:track:58HvfVOeJY7lUuCqF0m3ly,"MIDDLE OF THE NIGHT","MIDDLE OF THE NIGHT","Elley Duhé",2020-01-10,184447,76,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:36Z,"","Not Fit For Society/RCA Records",0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,3
spotify:track:2qxmye6gAegTMjLKEBoR3d,"Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,82,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:47Z,"","2018",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
spotify:track:1v1oIWf2Xgh54kIWuKsDf6,"Runaway","All My Demons Greeting Me As A Friend (Deluxe)","AURORA",2016-03-11,248826,78,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:49Z,"norwegian pop,art pop","Decca (UMO)",0.422,0.302,11,-9.214,1,0.0372,0.629,0.0000783,0.104,0.123,114.089,4
spotify:track:1SC5rEoYDGUK4NfG82494W,"MONTERO (Call Me By Your Name)","MONTERO","Lil Nas X",2021-09-17,137704,76,true,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:52:54Z,"","Columbia",0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
spotify:track:3B4etxytImrRKQgV3XHjnR,"Harleys In Hawaii","Smile","Katy Perry",2020-08-28,185480,77,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:53:04Z,"pop","Capitol Records",0.721,0.751,10,-6.203,0,0.125,0.162,0.00000659,0.118,0.738,140.095,4
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,88,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:53:13Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:4gvrJnKCKIPiacNsWVQwEU,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]","CKay,Dj Yo!,AX'EL",2021-09-09,188368,74,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:53:18Z,"afrobeats,afrobeat,afro r&b,afropop","WM South Africa",0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,3
spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,"Love Me Like You Do","Fifty Shades Freed (Original Motion Picture Soundtrack)","Ellie Goulding",2018-02-09,253520,76,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:54:06Z,"","Republic/Universal/FSF",0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.323,95.013,4
spotify:track:0C3shWEOObGT5IxApC7Mkg,"you were there for me","you were there for me","Henry Moodie",2022-08-09,195365,1,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-10-30T11:54:37Z,"","Robots & Humans/Columbia",0.571,0.845,6,-4.4,1,0.0595,0.0549,0.000055,0.081,0.409,163.884,4
spotify:track:4z2JaAVPemYJhFKm7e32RA,"Skechers","Skechers","DripReport",2020-01-12,106031,0,true,31vi4hmj34hso4lffx7ep6igbjyu,2022-11-02T10:49:10Z,"","1470214 Records DK",0.907,0.332,1,-9.828,1,0.0836,0.326,0.0168,0.109,0.277,99.998,4
spotify:track:3e7sxremeOE3wTySiOhGiP,"Dusk Till Dawn (feat. Sia) - Radio Edit","Icarus Falls","ZAYN,Sia",2018-12-14,239000,82,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-11-20T11:50:22Z,"","RCA Records Label",0.259,0.437,11,-6.589,0,0.0386,0.102,0.00000132,0.106,0.0951,180.042,4
spotify:track:3MnAsEBBsEj86d03RgO4EM,"Fairytale","Fairytale","Alexander Rybak",2009-01-12,182600,73,false,31vi4hmj34hso4lffx7ep6igbjyu,2022-12-09T04:51:42Z,"","Alexander Rybak",0.573,0.784,2,-5.359,0,0.0293,0.61,0.0000389,0.278,0.655,107.991,4
spotify:track:2eAZfqOm4EnOF9VvN50Tyc,"The Way Life Goes (feat. Oh Wonder)","Luv Is Rage 2","Lil Uzi Vert,Oh Wonder",2017-08-25,221746,79,true,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-09T15:00:48Z,"melodic rap","Generation Now/Atlantic",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,4
spotify:track:0QzuaeCEEOV40Pn7IvKEny,"double take","rapunzel","Dhruv",2022-01-21,171743,78,false,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-10T16:52:03Z,"","Little Worry/RCA Records",0.656,0.436,8,-11.141,1,0.0744,0.845,0,0.221,0.196,109.239,4
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"Let Me Love You","Encore","DJ Snake,Justin Bieber",2016-08-05,205946,88,false,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-30T08:06:01Z,"","DJ Snake Def Jam",0.475,0.715,8,-5.371,1,0.058,0.0863,0.0000267,0.135,0.159,199.892,4
spotify:track:4Dvkj6JhhA12EX05fT7y2e,"As It Was","Harry's House","Harry Styles",2022-05-20,167303,89,false,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-30T08:06:20Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa,DaBaby",2020-03-27,203064,83,false,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-30T08:06:40Z,"pop","Warner Records",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,82,true,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-30T08:06:56Z,"","Republic Records",0.716,0.613,1,-6.018,0,0.0522,0.391,0,0.0813,0.157,97.914,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd,Daft Punk",2016-11-25,230453,90,true,31vi4hmj34hso4lffx7ep6igbjyu,2023-05-30T08:07:08Z,"french house,electronic,electro","Universal Republic Records",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
