Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0pWcUM0z72DhTW7j0fa0QM,"Besabriyaan","M.S.Dhoni - The Untold Story","Armaan Malik,Manoj Muntashir,Amaal Mallik",2016-09-17,255738,63,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:13:02Z,"bollywood,hindi pop,kannada pop,tollywood,telugu pop,bhajan,devotional,desi","T-Series",0.338,0.459,2,-8.827,1,0.027,0.533,0.0000133,0.22,0.32,81.203,4
spotify:track:7wMq5n8mYSKlQIGECKUgTX,"Hall of Fame (feat. will.i.am)","#3 Deluxe Version","The Script,will.i.am",2012-09-10,202533,83,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:13:17Z,"","Epic/Phonogenic",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
spotify:track:7jpmNt5iCtSdXuT1xEGp8O,"Patakha Guddi","Highway","Sultana,Jyoti Nooran",2014-01-22,285185,63,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:15:54Z,"bollywood,sufi,qawwali","T-Series",0.814,0.791,11,-5.057,1,0.0934,0.25,0,0.124,0.902,130.941,4
spotify:track:6shPaz0rzOAGatiY6X6zLQ,"Ek Zindagi (From Angrezi Medium)","Ek Zindagi (From Angrezi Medium)","Taniskaa Sanghvi,Sachin-Jigar",2020-02-20,170088,63,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:17:01Z,"gujarati pop,gujarati garba,bollywood,hindi pop,desi","T-Series",0.688,0.609,0,-7.096,0,0.0495,0.0706,0,0.157,0.627,110.027,4
spotify:track:1RMJfOjuWNkfdjDo038CgU,"Mine","Mine EP","Phoebe Ryan",2015-06-09,227026,46,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:20:19Z,"","Columbia",0.658,0.706,5,-5.347,1,0.0304,0.0625,0,0.106,0.427,98.967,4
spotify:track:3h2jKVFDtI69kg8v3dCaHD,"Jazba","Ladies vs Ricky Bahl","Salim–Sulaiman,Shilpa Rao,Amitabh Bhattacharya",2011-11-09,279379,40,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:20:55Z,"bollywood,sufi,desi,hindi pop,qawwali","YRF Music",0.825,0.745,7,-6.856,0,0.0867,0.209,0.00000417,0.111,0.942,124.092,4
spotify:track:3ndW5P3tLaoLSn30qURXB5,"Jee Le","Luck","Shruti Pathak,Naresh Kamath",2009-06-23,265595,43,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:21:48Z,"gujarati garba,bollywood,gujarati pop,desi,hindi pop,sufi,qawwali,bhajan","T-Series",0.747,0.832,8,-7.268,1,0.18,0.113,0.00000107,0.0739,0.857,99.992,4
spotify:track:1vgVsR5rkXGP4NmUcoroJH,"Aye Khuda","Paathshaala","Salim Merchant",2010-03-15,280497,60,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:22:50Z,"bollywood,sufi,hindi pop,desi","T-Series",0.656,0.762,9,-6.328,1,0.0315,0.549,0,0.139,0.558,110.002,4
spotify:track:3tYI3GE47dvrqCvmrh1KYQ,"Myself","Four More Shots Please! (Original Series Soundtrack)","Medha Sahi",2019-01-28,204750,28,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-10T20:24:07Z,"indian indie","Sony Music / Amazon Sellers Services Pvt. Ltd.",0.673,0.47,2,-8.138,1,0.0289,0.521,0.0224,0.121,0.257,119.996,3
spotify:track:3EmmCZoqpWOTY1g2GBwJoR,"Just Hold On","Just Hold On","Steve Aoki,Louis Tomlinson",2016-12-10,198774,57,false,r1lumbeqirp1cwf7t8kitaseo,2020-10-11T05:44:29Z,"electro house,edm","Ultra Records, LLC",0.647,0.932,11,-3.515,1,0.0824,0.00383,0.0000015,0.0574,0.374,114.991,4
