Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BYyEjrCDVqtppYcxsXqZs,"Pogadhe","Deepavali (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2007-01-05,330400,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:42:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.655,0.518,4,-8.084,1,0.0349,0.724,0.0000028,0.145,0.122,80.152,4
spotify:track:7F6S2iyZaDS7AThJaHftJI,"Devathaiya Kandein","Kadhal Kondaen","Harish Raghavendra",2003-04-16,310612,57,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:43:02Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.879,0.434,7,-10.778,0,0.0385,0.113,0.0000246,0.105,0.794,110.018,4
spotify:track:5wi9UlVWcfZA3h7tmmgZhm,"Kadhal Kodaen","Kadhal Kondaen","Yuvan Shankar Raja",2003-04-16,66922,39,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:43:12Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Five Star Audio",0.713,0.807,2,-10.676,1,0.0592,0.0335,0.889,0.0383,0.924,136.919,4
spotify:track:6GLlf054kDFNnY1mK1hVkV,"Oru Naalil","Pudhupettai (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2016-11-07,384973,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:44:30Z,"tamil pop,kollywood,tamil dance,tamil hip hop","VMS Music Records and Publishing Sdn Bhd",0.711,0.424,6,-10.647,1,0.049,0.315,0.0000103,0.0616,0.764,79.99,4
spotify:track:19ZQT32TiC6SrzeWj4O94f,"Dheivangal Ellaam","Kedi Billa Killadi Ranga (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Vijay Yesudas",2013-03-12,175333,44,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:44:40Z,"tamil pop,kollywood,tamil dance,tamil hip hop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.411,0.293,5,-10.393,1,0.0298,0.801,0.000591,0.0721,0.139,179.81,3
spotify:track:3ME4YtXLDofYEegBxAlJwk,"Kadhal Valarthen (FromManmadhan)","Yuvan Forever","KK",2019-08-23,449613,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:46:38Z,"bollywood,hindi pop,desi","VMS Music Records and Publishing Sdn Bhd",0.708,0.643,5,-7.367,0,0.0556,0.474,0.00000174,0.146,0.496,122.96,4
spotify:track:2zDCz0kcGXuu8mMMEXUwY0,"Neruppu","Pudhupettai","Kamal Haasan",2005-12-15,297413,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:48:32Z,"tamil pop,kollywood,tamil dance","Ayngaran",0.636,0.755,1,-7.144,1,0.0966,0.0666,0.0000826,0.0657,0.617,154.995,4
spotify:track:6MnXtzaXUOYQ3SbPuqpZaz,"Kaadhal Vaithu","Deepavali (Original Motion Picture Soundtrack)","Vijay Yesudas",2007-01-05,309000,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:50:19Z,"malayalam pop,mollywood,tamil pop,kollywood","Ayngaran",0.659,0.776,10,-8,0,0.0373,0.0268,0.0674,0.197,0.669,100.247,4
spotify:track:6Jxd7wVisXOT306ncXCHzt,"Para Para Para Pattampochi","Tamil M.A.","Rahul",2009-11-21,248733,39,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:54:19Z,"telugu pop,tollywood","T-Series",0.795,0.604,8,-6.632,1,0.0315,0.649,0.00554,0.143,0.885,115.027,3
spotify:track:7acN9HaStRBkP2UTOOpQ9q,"Paravaiye Engu Irukkirai","Tamil M.A.","Ilaiyaraaja",2009-11-21,369360,52,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:55:24Z,"tamil pop,kollywood","T-Series",0.829,0.622,3,-10.679,0,0.0512,0.424,0.000538,0.209,0.757,129.969,4
spotify:track:4FkMh52ydCzaPYJ8oRkQEf,"Unnakaagathane Inthauriyrullathu","Tamil M.A.","Yuvan Shankar Raja",2009-11-21,290426,44,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:55:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop","T-Series",0.764,0.575,7,-9.989,1,0.0298,0.341,0.000279,0.0824,0.675,110.002,4
spotify:track:5TL3UHuEBRMPbAIAOiPJmc,"Enkeyoo Partha","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Udit Narayan",2008-10-17,320960,68,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:57:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Think Music (India)",0.822,0.446,7,-8.899,0,0.0321,0.486,0.00102,0.147,0.654,119.994,4
spotify:track:18ONQnZsstfBATeq0yusPN,"Oru Naalaikkul","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Karthik,Rita Thyagarajan",2008-10-17,340066,61,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:57:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Think Music (India)",0.706,0.735,6,-7.564,1,0.0322,0.37,0.0165,0.107,0.827,119.969,4
spotify:track:6Z8oU8xMOie24Cflh2Sw6p,"Venmegam","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Hariharan",2008-10-17,274853,68,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T08:57:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bhajan,ghazal,devotional,telugu pop","Think Music (India)",0.803,0.426,3,-11.54,1,0.0742,0.418,0.0000223,0.11,0.556,114.945,4
spotify:track:4XFNtx84dAt6jxKEniIVuY,"Aedho Saigirai","Vaamanan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Javed Ali,Sowmya Raoh",2009-04-13,292960,51,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:01:55Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.639,0.641,0,-8.381,0,0.0321,0.166,0.00113,0.0937,0.366,84.992,4
spotify:track:2uqXfUERVBLa1heEoUTBlO,"Thuli Thuli","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Haricharan,Tanvi Shah",2010-11-22,283346,65,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:02:59Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop","Think Music (India)",0.709,0.528,7,-7.429,0,0.0309,0.256,0.00189,0.112,0.649,91.999,4
spotify:track:2cbRVHdH6ab9sPsnQjFRx6,"Poongatre Poongatre","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Benny Dayal",2010-11-22,319906,54,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:03:05Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,desi,hindi pop","Think Music (India)",0.825,0.669,5,-9.117,0,0.0475,0.0761,0.169,0.329,0.767,119.993,4
spotify:track:1vzxYeTJ9dTtyJXkNWVJDZ,"En Kadhal Solla","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-11-22,293893,64,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:03:12Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4
spotify:track:3c1tJAYgROZEdqRfm7Wsny,"Yedho Ondru Ennai","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-22,213520,59,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:03:18Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.858,0.447,10,-7.917,1,0.0343,0.67,0.0000919,0.0738,0.256,119.98,4
spotify:track:6wNZFAMVfEVtMcFmGZ4P7r,"Enna Enna Aagiren","Kaadhal Solla Vandhen (Original Motion Picture Soundtrack)","Vijay Yesudas",2010-06-16,276414,45,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:04:53Z,"malayalam pop,mollywood,tamil pop,kollywood","Think Music",0.756,0.474,5,-8.245,0,0.0292,0.479,0.206,0.09,0.349,104.99,4
spotify:track:3cSx1a2a106rLVrL7EwyMq,"Oru Vaanavillin Pakkathile","Kaadhal Solla Vandhen (Original Motion Picture Soundtrack)","Udit Narayan",2010-06-16,285521,44,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:05:40Z,"bollywood,hindi pop,desi","Think Music",0.828,0.694,5,-7.412,0,0.0462,0.0745,0.0000528,0.208,0.791,145.012,4
spotify:track:3Vjfh7FoOIg6lRDsFNbVv7,"Vaanam","Vaanam (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-28,224106,54,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:06:54Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ishtar Music Pvt. Ltd.",0.573,0.549,0,-4.448,0,0.0269,0.269,0.0000897,0.383,0.311,113.99,4
spotify:track:3FRLxtpSk9BxxnxdS6I4jq,"Iragai Poley","Naan Mahaan Alla (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-07-16,317739,64,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:07:26Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004,4
spotify:track:26drTTC70Sw1QFa2CpivJs,"Yaar Intha","Boss n' Baskaran (Original Motion Picture Soundtrack)","Haricharan",2010-08-27,304363,53,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:07:51Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop","Think Music",0.843,0.447,7,-7.917,0,0.0421,0.0435,0,0.0624,0.591,109.976,4
spotify:track:1YwiaLPhMFrtfB1BZgejCX,"Iyley Iyley","Boss n' Baskaran (Original Motion Picture Soundtrack)","Vijay Prakash",2010-08-27,304421,35,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:07:58Z,"tamil pop,kollywood,telugu pop,tollywood","Think Music",0.794,0.692,7,-6.118,0,0.0536,0.0162,0.00192,0.377,0.552,95.013,4
spotify:track:5mlrX5pZ53ObwGXwBMARHX,"Thathi Thaavum","Boss n' Baskaran (Original Motion Picture Soundtrack)","Karthick",2010-08-27,284000,31,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:08:36Z,"kollywood,tamil pop","Think Music",0.82,0.579,6,-7.623,1,0.0936,0.099,0.000347,0.0835,0.541,90.033,4
spotify:track:5wztfyU8SnDdNzSXwNQEfJ,"Dia Dia Dole","Avan Ivan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Suchitra",2011-04-18,242200,48,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:10:22Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.477,0.973,3,-5.393,0,0.197,0.234,0.119,0.226,0.696,83.371,4
spotify:track:2yzAJ3au0Bj8dAAflZCCjp,"Rasathi","Avan Ivan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Haricharan",2011-04-18,293013,44,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:10:42Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.77,0.665,8,-5.784,1,0.0698,0.121,0.000259,0.114,0.436,104.973,4
spotify:track:19MRAxznRvejs0DNu8MhoC,"Aathadi Manasudhan","Kazhugoo (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Priya Hemesh",2011-11-23,309666,50,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:15:09Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.639,0.476,3,-7.675,0,0.043,0.138,0.0523,0.0865,0.353,160.093,4
spotify:track:1zZTvax6SvPuoudxmfZfqV,"Azhagho Azhaghu","Samar (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Naresh Iyer",2012-12-03,290693,52,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:16:48Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.83,0.603,0,-4.819,0,0.0374,0.395,0,0.0415,0.789,108.039,4
spotify:track:5BjvsB6Yg1TSXDI7XcgWYO,"Aaraaroo","Aadhalal Kadhal Seiveer","Yuvan Shankar Raja",2013-08-15,328285,41,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:18:22Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Saregama",0.584,0.366,5,-8.958,0,0.0327,0.757,0.0000218,0.0696,0.0723,139.903,4
spotify:track:1vKbVB1nOAVxUtqmNAstLw,"Aanandha Yaazhai","Thangameenkal (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Sriram Parthasarathy",2013-05-03,217000,53,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:19:22Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.768,0.335,10,-8.132,1,0.0378,0.784,0,0.105,0.65,120.011,1
spotify:track:3Ucp8PolaJxPBpq9KyJSMr,"Nathi Vellam","Thangameenkal (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Rahul Nambiar",2013-05-03,312000,36,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:19:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.564,0.417,10,-8.242,0,0.04,0.66,0.00000301,0.0817,0.353,79.947,4
spotify:track:5bevVJ1zMWutZ3rQulAp62,"Yaaro Ucchikilai Meley","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2016-12-31,177866,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:22:02Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Divo",0.646,0.756,8,-5.316,0,0.0445,0.0228,0.00645,0.14,0.502,179.998,4
spotify:track:5wHRzbzZhlrFClgnoeRXWW,"Unn Badhil Vendi","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar RajaSiddharthSruthi S",2016-12-31,262999,0,false,ln3m6wu7q6q1kkt2vztyku0ik,2020-07-12T09:22:06Z,"","Divo",0.416,0.512,3,-6.994,0,0.0526,0.686,0.00000176,0.111,0.184,164.867,4
