Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IytBjPETkBNj78AuNVCKj,"I Don't Want To Say Goodbye","Love Revolution (Original Webcomic Soundtrack)","Sin Ye Young",2022-05-25,306499,37,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:10Z,"k-ballad","ROUTELABEL",0.632,0.454,5,-4.289,1,0.0336,0.701,0,0.12,0.179,133.837,4
spotify:track:7BomO555aVQ9LIflLjPv3t,"Dilemma","Love Revolution (Original Webcomic Soundtrack)","LIZRO",2021-08-04,186862,25,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:25Z,"","ROUTELABEL",0.519,0.611,4,-5.261,1,0.0266,0.48,0,0.206,0.292,136.166,4
spotify:track:1vJ9O7pcabPA2q6kze1pAH,"Hollow Wood","Love Revolution (Original Webcomic Soundtrack)","paulkyte",2020-11-25,240705,28,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:40Z,"","ROUTELABEL",0.452,0.672,8,-5.944,0,0.037,0.738,0.0000915,0.111,0.259,85.175,4
spotify:track:5Y4PlwrK1UlBBrm08SRnyp,"The Memory (민지와 자림)","Love Revolution (Original Webcomic Soundtrack)","MION,near",2020-09-02,201645,29,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:42Z,"","ROUTELABEL",0.583,0.608,10,-5.57,0,0.0456,0.473,0,0.5,0.396,89.82,4
spotify:track:3YIJ3pgIDtt3LPjkmBCuc4,"LOVE REVOLUTION (Original Webcomic Soundtrack) - Fairytale","LOVE REVOLUTION (Original Webcomic Soundtrack) - Fairytale","KLANG",2019-07-03,233647,25,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:44Z,"soundtrack","ROUTE LABEL",0.641,0.449,9,-7.579,0,0.0775,0.383,0.00000107,0.0583,0.121,169.904,4
spotify:track:3zQBBTKaHLNp633PCHTHOQ,"I Like You But Got Tired of Liking You","Naver webtoon 'Love Revolution' (Original Soundtrack)","Oisobagi",2020-05-14,256314,27,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:18:53Z,"","Oisobagi",0.582,0.543,2,-7.138,1,0.0388,0.734,0,0.0827,0.313,140.109,4
spotify:track:1xy1i731FugTcS1e9RFX1d,"Sickness (feat.PLEDIS GIRLZ)","Sickness","VERNON,PLEDIS GIRLZ",2016-03-23,204066,43,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:19:28Z,"","SQUARE MUSIQ, PLEDIS ENTERTAINMENT",0.709,0.79,4,-5.012,1,0.0757,0.305,0,0.256,0.31,140.064,4
spotify:track:3onn360zmsghT2igHXp4qt,"Sand Castle","Love Revolution (Lee Kyung-woo Theme) (Original Webtoon Soundtrack)","Kim Kyung Rok",2020-07-28,231426,27,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:19:38Z,"k-ballad","ROUTE LABEL",0.405,0.854,10,-2.494,1,0.0627,0.774,0,0.124,0.507,180.048,4
spotify:track:2rUswUJyOe923U7whxAgSj,"Sand Castle - Instrumental","Love Revolution (Lee Kyung-woo Theme) (Original Webtoon Soundtrack)","Kim Kyung Rok",2020-07-28,231426,8,false,2176hjpoozj7pawzfpvo3infq,2022-12-14T16:59:58Z,"k-ballad","ROUTE LABEL",0.499,0.686,10,-6.176,1,0.0329,0.0487,0.913,0.149,0.403,179.936,4
spotify:track:5VMzbtKYJUMwE358F4aa9Z,"Moonlight (From ''Love Revolution'' Original Webtoon Soundtrack)","Moonlight (From ''Love Revolution'' Original Webtoon Soundtrack)","HWANG MIN HYUN",2021-01-06,194466,0,false,2176hjpoozj7pawzfpvo3infq,2022-09-17T07:20:12Z,"","WM Korea",0.531,0.505,6,-5.054,1,0.0281,0.601,0,0.13,0.222,123.899,4
