Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:62yaHPUl2vELHwaHb6R5oW,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2020-07-13,384256,0,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:47:19Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Tapes",0.712,0.422,6,-10.688,1,0.046,0.307,0.0000171,0.067,0.772,80.014,4
spotify:track:1lqdPJz24AiFWeo3arwPXR,"Yaaro Yaaro","Maattrraan (Original Motion Picture Soundtrack)","Harris Jayaraj,Karthik,Priya Hemesh",2012-08-10,335786,58,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:47:50Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.702,0.44,4,-10.756,0,0.0913,0.677,0.0000012,0.0855,0.448,147.073,4
spotify:track:5TL3UHuEBRMPbAIAOiPJmc,"Enkeyoo Partha","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Udit Narayan",2008-10-17,320960,68,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:47:57Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Think Music (India)",0.822,0.446,7,-8.899,0,0.0321,0.486,0.00102,0.147,0.654,119.994,4
spotify:track:38qcqn2srF8tJWCW2Ltk4Y,"Idhayathai Oru Nodi","Semma Botha Aagathey (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2017-11-22,226758,0,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:05Z,"tamil pop,kollywood,tamil dance,tamil hip hop","VMS Music Records and Publishing Sdn Bhd",0.625,0.532,10,-6.048,0,0.0315,0.695,0.00187,0.0849,0.408,144.903,4
spotify:track:6Z8oU8xMOie24Cflh2Sw6p,"Venmegam","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Hariharan",2008-10-17,274853,68,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:16Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bhajan,ghazal,devotional,telugu pop","Think Music (India)",0.803,0.426,3,-11.54,1,0.0742,0.418,0.0000223,0.11,0.556,114.945,4
spotify:track:7mAmuoXcbyjXz4rTHEOCiG,"Kaadhal Vaithu","Deepavali (Original Motion Picture Soundtrack)","Vijay Yesudas",2007-01-05,309000,0,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:27Z,"malayalam pop,mollywood,tamil pop,kollywood","Eros Ayangaran",0.659,0.776,10,-8,0,0.0373,0.0268,0.0674,0.197,0.669,100.247,4
spotify:track:0e8TvtwBMmh89JHJrLdPB8,"Maari’s Aanandhi","Maari’s Aanandhi (From 'Maari 2' Original Motion Picture Soundtrack)","Ilaiyaraaja,M.M.Manasi",2018-12-10,259591,0,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:36Z,"tamil pop,kollywood,tollywood,telugu pop,tamil dance","VMS Music Records And Publishing Sdn Bhd",0.638,0.355,0,-9.92,0,0.0245,0.584,0.0125,0.15,0.331,97.998,3
spotify:track:5DYfTyqUNBmOnQtljQjYk2,"Ayyayo","Aadukalam (Original Motion Picture Soundtrack)","G. V. Prakash,S. P. Balasubrahmanyam,S.P. Charan,Prashanthini",2010-11-08,324373,70,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,kannada pop,devotional,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.598,0.705,7,-5.525,0,0.0362,0.497,0.000128,0.0878,0.731,75.023,4
spotify:track:1UUgngRGzFWfgpyN0WAN1r,"Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Ravi G,Shashaa Tirupati",2022-01-03,243570,59,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:48:50Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,hindi pop,bollywood","Sony Music Entertainment India Pvt. Ltd.",0.401,0.488,2,-8.417,1,0.0288,0.6,0,0.124,0.455,149.951,3
spotify:track:3yqkV2Vd0u4l9lUnlaFNZT,"Porkanda Singam","Vikram (Original Motion Picture Soundtrack)","Anirudh Ravichander,Ravi G",2022-05-15,198000,56,false,31b2gsbhhuhoyoh6a5mfewcp5cfq,2023-03-22T19:49:05Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.527,0.591,5,-7.632,0,0.0282,0.626,0.00798,0.385,0.543,119.932,3
