Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZRo7axmMPeSVUvDbGkJah,"Hope","?","XXXTENTACION",2018-03-16,110886,83,true,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T11:59:58Z,"emo rap","Bad Vibes Forever, LLC",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
spotify:track:58HvfVOeJY7lUuCqF0m3ly,"MIDDLE OF THE NIGHT","MIDDLE OF THE NIGHT","Elley Duhé",2020-01-10,184447,76,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:03Z,"","Not Fit For Society/RCA Records",0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,3
spotify:track:2eAvDnpXP5W0cVtiI0PUxV,"Dandelions","Safe Haven","Ruth B.",2017-05-05,233720,85,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:04Z,"","Columbia",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
spotify:track:3B4etxytImrRKQgV3XHjnR,"Harleys In Hawaii","Smile","Katy Perry",2020-08-28,185480,77,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:07Z,"pop","Capitol Records",0.721,0.751,10,-6.203,0,0.125,0.162,0.00000659,0.118,0.738,140.095,4
spotify:track:64p6ua7zpf66s62StC2QLv,"Bad Boy (feat. Luana Kiara)","Bad Boy (feat. Luana Kiara)","Raaban,Tungevaag,Luana Kiara",2018-08-24,190673,65,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:13Z,"big room","WM Sweden",0.644,0.892,0,-1.1,0,0.0567,0.13,0.000113,0.0893,0.767,180.044,4
spotify:track:2qxmye6gAegTMjLKEBoR3d,"Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,82,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:15Z,"","2018",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
spotify:track:1J14CdDAvBTE1AJYUOwl6C,"Arcade","Small Town Boy (Track By Track)","Duncan Laurence",2020-11-12,185146,76,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:18Z,"","Universal Music, a division of Universal International Music BV",0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,3
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,88,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:21Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:48QmG1dfvMuYLxMPt7KSRA,"No Lie","Mad Love The Prequel","Sean Paul,Dua Lipa",2018-06-29,221176,86,false,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:28Z,"dancehall,pop","Universal-Island Records Ltd.",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
spotify:track:4DpNNXFMMxQEKl7r0ykkWA,"Play Date","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,179867,75,true,31x22iiv2eadvyaiaagyn3y5jboi,2023-05-11T12:00:29Z,"","Atlantic Records",0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,4
