Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6dOmP7QmrdpsiEA8omsOEt,"Thee Illai","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj,Naresh Iyer,Mukesh,Gopal Rao,Mahathi,Ranina Reddy",2010-11-11,327066,61,false,jeevasmarty,2022-03-15T01:57:28Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,ghazal","Sony Music Entertainment India Pvt. Ltd.",0.69,0.53,9,-8.95,0,0.0327,0.412,0.00000497,0.116,0.307,95.971,4
spotify:track:1PSz9VCtLOo4sgcFluNMPu,"Mayam Seidhayo","Velayudham (Original Motion Picture Soundtrack)","Vijay Antony,Sangeetha Rajeshwaran",2011-08-29,254653,56,false,jeevasmarty,2023-10-13T21:45:22Z,"tamil dance,tamil pop,kollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.786,0.659,2,-7.447,0,0.0289,0.433,0.00109,0.0997,0.951,135.449,4
spotify:track:4LK8863ScRhhT6hitFfBI5,"Aval","Manithan (Original Motion Picture Soundtrack)","Santhosh Narayanan,Pradeep,Priya Hemesh",2016-04-08,266639,66,false,jeevasmarty,2021-11-17T17:34:24Z,"tamil pop,kollywood,tamil hip hop,tamil dance,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.324,0.457,2,-8.683,1,0.0336,0.271,0.0000265,0.433,0.225,99.902,4
spotify:track:6VP7HEaqHVFFW0ASZUkwMn,"Neethanae (From Mersal)","Neethanae (From Mersal)","A.R. Rahman,Shreya Ghoshal",2017-08-17,268455,58,false,jeevasmarty,2023-04-27T21:15:12Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.57,0.442,2,-9.656,0,0.043,0.716,0.000788,0.0922,0.53,73.963,4
spotify:track:43nkOd6yCARxO2AW5Zx5IL,"Yaaradu","Kavalan (Original Motion Picture Soundtrack)","Karthik,Suchithra",2010-11-27,265120,48,false,jeevasmarty,2021-08-19T13:57:25Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Ishtar Music Pvt. Ltd.",0.748,0.69,4,-5.67,0,0.0457,0.0116,0.00000152,0.103,0.845,97.032,4
spotify:track:5PNZX8yqzqqAMPpl3UAoaP,"Moongil Thottam","Kadal (Original Motion Picture Soundtrack)","A.R. Rahman,Abhay Jodhpurkar,Harini",2012-12-14,275093,62,false,jeevasmarty,2021-08-19T13:51:12Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.501,0.371,7,-11.093,1,0.0291,0.891,0.000114,0.101,0.286,129.871,3
spotify:track:7FEWG1bL31YAcnxJQvxJJO,"Nenjukkule","Kadal (Original Motion Picture Soundtrack)","A.R. Rahman,Shakthisree Gopalan",2012-12-14,290000,65,false,jeevasmarty,2021-08-19T13:51:58Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.473,0.4,7,-8.224,1,0.0311,0.699,0.0000127,0.132,0.259,154.04,3
spotify:track:5NEGfbKMcNuEWOzpWufScA,"Yaanji","Vikram Vedha (Original Motion Picture Soundtrack)","Anirudh Ravichander,Sam C.S.,Shakthisree Gopalan",2017-06-19,270375,59,false,jeevasmarty,2021-08-19T13:53:14Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam hip hop,malayalam pop","Think Music",0.692,0.624,9,-6.492,0,0.0337,0.368,0,0.108,0.487,132.896,4
spotify:track:1z45HXeHMhYyIaWWpgbP55,"En Fuse Pochu (From Arrambam)","All About Love: Yuvanshankar Raja","Yuvan Shankar Raja,Karthik,Ramya NSK",2018-08-31,282853,41,false,jeevasmarty,2021-08-19T13:52:27Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.679,0.554,3,-7.078,0,0.0303,0.505,0,0.145,0.5,104.964,4
spotify:track:7vR8sGqVg5HMEOEvECdzlQ,"En Kadhal Solla (From Paiya)","Voice of Yuvanshankar Raja Vol. 2","Yuvan Shankar Raja,Tanvi Shah",2013-07-10,293893,55,false,jeevasmarty,2021-08-19T13:53:30Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4
