Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From Tamasha)","Love Forever With Arijit Singh","Alka Yagnik,Arijit Singh",2017-06-07,341054,72,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:14:06Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,4
spotify:track:7F8RNvTQlvbeBLeenycvN6,"Kun Faya Kun","Rockstar","A.R. Rahman,Javed Ali,Mohit Chauhan",2011-10-01,470500,71,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:14:09Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,qawwali,desi pop","T-Series",0.362,0.378,1,-11.008,1,0.0329,0.679,0,0.091,0.575,87.549,4
spotify:track:0H2iJVgorRR0ZFgRqGUjUM,"Channa Mereya","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]","Pritam,Arijit Singh",2016-10-26,289333,74,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:14:52Z,"bollywood,hindi pop,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.476,0.788,9,-4.821,0,0.0446,0.237,0.0000249,0.106,0.746,90.066,4
spotify:track:56zZ48jdyY2oDXHVnwg5Di,"Tum Hi Ho","Aashiqui 2","Mithoon,Arijit Singh",2013-04-06,261974,80,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:17:07Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.529,0.451,5,-6.25,0,0.025,0.788,0,0.122,0.309,94.054,4
spotify:track:5O932cZmzOZGOGZz9RHx20,"Khairiyat","Chhichhore","Pritam,Arijit Singh",2019-08-31,280281,72,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:15:26Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.534,0.481,0,-9.016,0,0.0412,0.697,0,0.142,0.293,124.914,4
spotify:track:5PvwPy5eRO8BPwpRzCHK3D,"Sunn Raha Hai (Male Version)","Aashiqui 2","Ankit Tiwari",2013-04-06,390222,74,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:17:14Z,"bollywood,hindi pop,desi","T-Series",0.393,0.641,0,-6.493,0,0.0312,0.276,0,0.0958,0.336,81.932,4
spotify:track:35P2Xal9x3GAdOHytyEUFe,"","","",0000,0,0,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:17:37Z,"","",0.527,0.525,1,-8.106,1,0.0337,0.876,0.0000141,0.172,0.257,99.638,4
spotify:track:4bD9z9qa4qg9BhryvYWB7c,"Kabira","Yeh Jawaani Hai Deewani","Pritam,Tochi Raina,Rekha Bhardwaj",2013-03-30,223459,76,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:14:13Z,"bollywood,hindi pop,desi,sufi,ghazal","T-Series",0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,4
spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,"Pal","Pal","Javed-Mohsin,Arijit Singh,Shreya Ghoshal,Kunaal Vermaa,Prashant Ingole",2018-09-14,247286,71,false,31gty73k6dtquonmfeakfwddgvsq,2022-06-27T17:16:05Z,"bollywood,hindi pop,desi pop,desi,bangla pop,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.51,0.502,7,-7.016,0,0.0325,0.71,0,0.0708,0.321,133.885,4
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From Luka Chuppi)","Duniyaa (From Luka Chuppi)","Akhil,Dhvani Bhanushali,Kunaal Vermaa,Abhijit Vaghani",2019-02-22,222500,71,false,31gty73k6dtquonmfeakfwddgvsq,2022-11-27T15:43:47Z,"punjabi pop,hindi pop,bollywood,desi pop,desi","T-Series",0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,4
