Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hp6JfJIxkv3sl7E6p7DQj,"","","",0000,0,0,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:50:18Z,"","",0.449,0.421,4,-8.92,1,0.0272,0.387,0.000108,0.11,0.203,163.747,3
spotify:track:4FeczSomVWVyU4FW7xDeAI,"Tere Bina","Guru (Original Motion Picture Soundtrack)","A.R. Rahman,Chinmayi,Murtuza Khan,Qadir Khan",2006-09-11,309640,81,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:50:31Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,4
spotify:track:3ExeNEpJJQXfmq1cwj0LVo,"Daryaa","Manmarziyaan (Original Motion Picture Soundtrack)","Ammy Virk,Shahid Mallya",2018-09-13,261918,0,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:50:58Z,"bhangra,punjabi pop,bollywood,desi,hindi pop","Eros Now Music",0.565,0.527,8,-5.035,1,0.0252,0.148,0.0000023,0.103,0.231,91.989,4
spotify:track:6QleOhmbHLwcyB0vOm1uwb,"Roja Roja","Kadhalar Dhinam","A.R. Rahman,Unnikrishnan",1999-03-12,347783,0,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:51:32Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,telugu pop","Ayngaran",0.618,0.662,2,-12.14,1,0.0369,0.0265,0.0000895,0.148,0.488,89.992,4
spotify:track:4bD9z9qa4qg9BhryvYWB7c,"Kabira","Yeh Jawaani Hai Deewani","Pritam,Tochi Raina,Rekha Bhardwaj",2013-03-30,223459,76,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:51:46Z,"bollywood,hindi pop,desi,sufi,ghazal","T-Series",0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,4
spotify:track:73m0ROzv1B86iNvuo8rh8z,"Tu Bole .Main Boloon","Jaane Tu... Ya Jaane Na","A.R. Rahman",2008-05-21,273693,37,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:52:00Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","T-Series",0.572,0.472,7,-8.741,1,0.0585,0.545,0.00082,0.18,0.235,130.028,4
spotify:track:500H9ENeR5AYbKU1ScK6ME,"Luka Chuppi","Rang De Basanti (Original Motion Picture Soundtrack)","A.R. Rahman,Lata Mangeshkar",2005-12-04,396506,66,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:52:20Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,ghazal,bhajan,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.601,0.441,4,-8.946,1,0.0285,0.645,0.00000108,0.0986,0.202,103.862,4
spotify:track:1UWacd8x8tPPwmrPB1MoBI,"Ae Dil Hai Mushkil Title Track","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]","Pritam,Arijit Singh",2016-10-26,269032,74,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:52:39Z,"bollywood,hindi pop,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.495,0.654,3,-6.639,0,0.0679,0.713,0,0.165,0.35,123.896,4
spotify:track:7n6YJCoiTHtdhytgAliYDu,"Bombay Theme - Bombay / Soundtrack Version","Bombay (Original Motion Picture Soundtrack)","A.R. Rahman",1994-01-01,318333,41,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:52:50Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Universal Music India Pvt Ltd.",0.235,0.174,7,-15.34,1,0.0315,0.145,0.00212,0.125,0.0378,79.992,4
spotify:track:079c7ryg9vTjnQJgMHqkgZ,"Pyar Hamen Kis Mod Pe - From Satte Pe Satta","Magical Moments","Kishore Kumar,R. D. Burman,Bhupinder Singh,Sapan Chakraborty,Gulshan Bawra",2014-10-14,393506,46,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:53:05Z,"ghazal,bangla pop,hindi pop,bollywood","Universal Music India Pvt Ltd.",0.457,0.632,0,-6.819,0,0.0767,0.645,0,0.101,0.656,104.551,4
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,"Royals","Pure Heroine","Lorde",2013-09-27,190185,80,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:53:25Z,"","Universal Music New Zealand Limited",0.674,0.426,7,-9.504,1,0.122,0.12,0,0.132,0.337,84.876,4
spotify:track:2Fxmhks0bxGSBdJ92vM42m,"bad guy","WHEN WE ALL FALL ASLEEP WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,83,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:53:36Z,"","Darkroom/Interscope Records",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
spotify:track:0c4IEciLCDdXEhhKxj4ThA,"Madness","The 2nd Law","Muse",2012-09-24,281040,70,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:53:48Z,"alternative rock,rock","Warner Records",0.502,0.417,10,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,4
spotify:track:1uzUOkIB0fZ19A6Hu65HC7,"The Demon Dance","The Neon Demon (Bande originale du film)","Julian Winding",2016-06-03,359960,33,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:54:02Z,"","Gaumont / Wild Bunch",0.692,0.608,2,-9.763,1,0.0379,0.0472,0.862,0.0807,0.216,113.001,4
spotify:track:5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,80,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:54:14Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
spotify:track:5JdLUE9D743ob2RtgmVpVx,"Makeba","Zanaka","Jain",2016-10-21,249533,68,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:54:25Z,"french pop","Columbia",0.824,0.656,2,-9.432,1,0.0704,0.388,0.506,0.253,0.418,116.068,4
spotify:track:0xG0SHshCStMEyNbNC5d4k,"Issues","Nervous System","Julia Michaels",2017-07-28,176320,0,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:54:34Z,"","J/Republic",0.67,0.415,8,-6.855,1,0.0786,0.39,0,0.0617,0.445,114.212,4
spotify:track:05NpeTQWnzXS1d8ZqL4YFZ,"Twisted Transistor","See You On the Other Side","Korn",2005-12-06,188933,72,true,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:54:58Z,"nu metal,metal,rap metal,alternative metal","Tempo Music",0.581,0.983,5,-3.291,0,0.0636,0.00043,0.00654,0.0806,0.417,110.038,4
spotify:track:4N0fzRX3T7QkOecp3pkWpp,"With Or Without You","U218 Singles","U2",2006-01-01,296226,62,false,31xknjktg5qnbdelb2tw73omjucy,2022-01-06T16:55:14Z,"rock","Universal-Island Records Ltd.",0.546,0.537,2,-7.44,1,0.0268,0.000135,0.287,0.125,0.0923,109.908,4
