Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7qxXCZRcOF2fbTQPcik8Wk,"Pookkal Pookkum - Slowed Version","Pookkal Pookkum (Slowed Version)","Tom Parker,G. V. Prakash,Roop Kumar Rathod,Harini",2024-04-12,141714,31,false,,2025-05-03T18:46:25Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,sufi,hindi pop,desi,telugu pop","Think Music (India)",0.351,0.465,4,-11.993,0,0.0823,0.163,0.000608,0.366,0.0567,104.47,4
spotify:track:583QeJQN6NHRrUeKUbfSYN,"Katre En Vasal Vanthai - Lofi","Rahmans Love Lofis - Vol.1 (Tamil)","Unnikrishnan,Kavita Krishnamurthy,Aelo",2023-01-24,174870,34,false,,2025-05-01T13:30:05Z,"tamil pop,kollywood,telugu pop,bollywood,gujarati garba,hindi pop,lo-fi","Saregama",0.605,0.387,1,-15.591,1,0.0375,0.606,0.0392,0.223,0.176,86.032,4
spotify:track:31fMJwgrgNdk1IbWZEchX2,"Love You Still (abcdefu romantic version)","Love You Still (abcdefu romantic version)","Tyler Shaw",2022-02-18,150173,57,false,,2024-03-02T18:59:12Z,"","Sony Music Canada",0.712,0.0784,4,-19.067,1,0.0544,0.739,0,0.107,0.642,121.443,4
spotify:track:4klcLvEgv9Tz0pACRBzGUB,"Pit A Pat","Love Revolution OST Part.3","LMK",2020-12-03,177130,25,false,,2024-03-02T18:58:05Z,"","Kakao Entertainment",0.844,0.571,2,-4.189,1,0.0515,0.636,0,0.0982,0.514,99.985,4
spotify:track:2kt8pqyFNZ1eAfx44GNLH2,"Salana (From LGM)","Salana (From LGM)","Ramesh Thamilmani,Adithya RK",2023-06-15,177130,19,false,,2023-09-30T08:57:23Z,"tamil hip hop,tamil pop,telugu pop,tamil indie,kollywood,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.907,0.458,7,-10.678,0,0.0617,0.456,0.00000891,0.0841,0.817,114.971,4
spotify:track:6q75ZjYLIrWbCNwg052eZR,"Poomadhiye","Poomadhiye","Santhosh Narayanan,Dhruv Vikram",2023-05-05,216787,34,false,,2023-09-30T08:56:20Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood,telugu pop,tamil indie","Haiku Music Company",0.839,0.523,0,-5.159,0,0.156,0.514,0.00000847,0.0568,0.381,77.45,4
spotify:track:4ZU57HzgK8hWfeXcqBhWDd,"Kaaka Kadha - From Think Indie","Kaaka Kadha (From Think Indie)","vaisagh",2022-07-11,210000,50,true,,2022-08-30T14:29:06Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Think Music",0.877,0.494,9,-10.372,0,0.143,0.376,0,0.088,0.64,100.069,4
spotify:track:1baHxgYktT8eDdmtTozJF9,"Enjoy Enjaami","Enjoy Enjaami","Dhee,Arivu,Santhosh Narayanan",2021-03-05,279500,0,false,,2022-08-13T10:02:52Z,"tamil pop,tamil dance,kollywood,tollywood,tamil hip hop,tamil indie,malayalam hip hop","maajja",0.856,0.709,3,-7.432,0,0.222,0.349,0.000209,0.225,0.856,110.009,4
spotify:track:3Pd4JU3FXakDWX40oJx72X,"Aval","Aval","vaisagh",2020-09-04,166500,16,false,,2022-08-11T16:03:57Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","2366675 Records DK",0.714,0.126,2,-20.32,1,0.0506,0.65,0,0.0632,0.528,119.933,3
spotify:track:1HvEaMSjYzL8Ot1ZNDdVbM,"Meenamma - Reprise Version","Meenamma (Reprise Version)","Tajmeel Sherif",2021-08-24,162000,0,false,,2021-10-10T05:31:09Z,"tamil pop,tamil indie","Independent",0.717,0.175,9,-11.859,0,0.0438,0.894,0.00000459,0.0856,0.481,79.965,4
