Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3THVNKs3bdQekA02kK1hWD,"Kadhale Kadhale","Indru Netru Naalai (Original Motion Picture Soundtrack)","Hiphop Tamizha,Shankar Mahadevan,Padmalatha",2015-05-07,207071,67,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:50:19Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,marathi pop,bollywood,devotional,bhajan,desi,hindi pop,tollywood,telugu pop","Think Music",0.528,0.739,0,-6.32,0,0.0314,0.687,0.0000517,0.168,0.542,128.1,4
spotify:track:2tMoOS9grHtn4upzb4LwMG,"Adiye - From Bachelor","Adiye (From Bachelor)","Dhibu Ninan Thomas,Kapil Kapilan",2021-09-30,272000,69,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:51:29Z,"tamil pop,kollywood,malayalam pop,mollywood,kannada pop,tollywood","Think Music",0.709,0.454,9,-7.843,0,0.167,0.445,0,0.136,0.548,90.038,4
spotify:track:3FRLxtpSk9BxxnxdS6I4jq,"Iragai Poley","Naan Mahaan Alla (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-07-16,317739,64,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:54:37Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004,4
spotify:track:45THyhjDbYhNU7bDrTTUK6,"Kannamma","Ispade Rajavum Idhaya Raniyum (Original Motion Picture Soundtrack)","Sam C.S.,Anirudh Ravichander",2019-01-28,256945,66,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:54:57Z,"tamil pop,kollywood,malayalam hip hop,malayalam pop,tamil dance,tamil hip hop,tollywood,telugu pop","Think Music",0.729,0.695,1,-8.524,1,0.0312,0.522,0.000621,0.113,0.599,127.992,4
spotify:track:5O932cZmzOZGOGZz9RHx20,"Khairiyat","Chhichhore","Pritam,Arijit Singh",2019-08-31,280281,72,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:56:21Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.534,0.481,0,-9.016,0,0.0412,0.697,0,0.142,0.293,124.914,4
spotify:track:6EB454nVg2u6sbeCvWAPej,"Yaanji - From Vikram Vedha","Yaanji (From Vikram Vedha)","Sam C.S.,Anirudh Ravichander,Shakthisree Gopalan",2017-06-12,270375,70,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T17:57:41Z,"tamil pop,kollywood,malayalam hip hop,malayalam pop,tamil dance,tamil hip hop,tollywood,telugu pop","Think Music",0.692,0.624,9,-6.492,0,0.0337,0.368,0,0.108,0.487,132.896,4
spotify:track:0ejiYX5PkX6uLFFHnPCQVi,"Kaathirunthaai Anbe","Naveena Saraswathi Sabatham (Original Motion Picture Soundtrack)","Chinmayi,Nivas,Abhay Jodhpurkar",2013-10-13,362280,45,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T18:06:09Z,"tollywood,tamil pop,telugu pop,kollywood,marathi pop,bollywood,hindi pop,mollywood,malayalam pop","Think Music",0.641,0.545,0,-6.958,0,0.0691,0.605,0,0.182,0.563,79.871,4
spotify:track:2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From Shershaah)","Raataan Lambiyan (From Shershaah)","Tanishk Bagchi,Jubin Nautiyal,Asees Kaur",2021-07-30,230292,73,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T18:08:00Z,"bollywood,hindi pop,desi,desi pop,gujarati garba,bhajan,devotional","Sony Music Entertainment India Pvt. Ltd.",0.72,0.63,10,-5.549,1,0.0413,0.615,0,0.108,0.512,81.009,4
spotify:track:6kekHWEQ4SyMe5EjYAlveP,"High On Love","High On Love (From Pyaar Prema Kaadhal Original Motion Picture Soundtrack)","Yuvan Shankar RajaSid Sriram",2018-02-14,240169,0,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-19T18:17:24Z,"","Divo",0.63,0.779,4,-4.944,0,0.0392,0.214,0.00000934,0.112,0.619,149.948,4
spotify:track:3P6zRJ409f09GI1iNwjcpa,"Oh Shala Oh Shala","Kaadhal Solla Vandhen (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-06-16,254033,51,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:36:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.717,0.624,1,-7.096,1,0.0381,0.0754,0.000762,0.0989,0.472,159.926,4
spotify:track:5C1G1Gone0KvNwq4B2ERj2,"Nee Paartha Vizhigal (From 3 [Tamil]) - The Touch of Love","Playback: Pure Kaadhal - Enchanting Tamil Love Songs","Anirudh Ravichander,Vijay Yesudas,Shweta Mohan",2015-02-12,264506,31,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:50:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.665,0.596,9,-6.969,0,0.0278,0.293,0.0000373,0.247,0.644,110.056,4
spotify:track:7hMKAmUlUUYa5qEiHWK4bk,"Pookkal Pookkum","Madharasapattinam (Original Motion Picture Soundtrack)","G. V. Prakash,Roop Kumar Rathod,Harini,Andrea Jeremiah",2010-04-04,396466,70,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:50:59Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,sufi,hindi pop,desi,telugu pop","Think Music (India)",0.589,0.424,4,-12.006,0,0.0359,0.844,0.00381,0.169,0.561,119.823,4
spotify:track:38lQQdlbSMnHq3rjW9Vzhj,"Nee Kavithaigala - From Maragatha Naanayam","I Love Pradeep Kumar","Dhibu Ninan Thomas,Pradeep Kumar",2018-06-12,276250,56,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:51:49Z,"tamil pop,kollywood","Think Music",0.586,0.541,4,-5.647,0,0.0272,0.454,0.00000292,0.121,0.413,130.055,3
spotify:track:6PDkbkVKBCMIwm1wlDhT3s,"Yaaraiyum Ivlo Azhaga - From Sulthan","Yaaraiyum Ivlo Azhaga (From Sulthan)","Vivek - Mervin,Silambarasan TR",2021-03-05,298666,14,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:51:54Z,"tamil pop,tamil dance,kollywood,tamil indie,tamil hip hop","Dream Warrior Pictures",0.684,0.593,5,-6.267,1,0.0321,0.375,0.0000121,0.0998,0.372,89.994,4
spotify:track:35cs2sZ24XIGequNBXfdpv,"Un Paarvayil","Ethir Neechal (Original Motion Picture Soundtrack)","Anirudh Ravichander,Vivek Siva",2012-12-15,101133,52,false,8fahpt4ilo8htwfzgu52yqy7w,2021-12-22T14:52:26Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.562,0.673,7,-8.184,0,0.0679,0.457,0.0299,0.109,0.319,95.075,4
spotify:track:7fttjqzmvgvpRQoOzyYng3,"Po Indru Neeyaga","Velai Illa Pattadhaari (Original Motion Picture Soundtrack)","Anirudh Ravichander,Dhanush",2016-01-14,223326,0,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-15T19:48:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Divo",0.484,0.593,3,-3.788,0,0.0272,0.262,0,0.0813,0.46,144.863,3
spotify:track:3KmqCi6VD4IkonTDO1LRge,"Oru Devathai (From Vaamanan)","All About Love: Yuvanshankar Raja","Yuvan Shankar Raja,Roop Kumar Rathod",2018-08-31,296760,57,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:23:14Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,sufi,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.642,0.493,0,-9.618,0,0.0325,0.163,0.000796,0.111,0.281,120.019,4
spotify:track:4Lm0D6ituSgOi1AXLhUqcx,"Rendu Kaadhal (From Kaathuvaakula Rendu Kaadhal)","Rendu Kaadhal (From Kaathuvaakula Rendu Kaadhal)","Anirudh Ravichander,Shakthisree Gopalan,Aishwarya Suresh Bindra",2021-02-14,260124,59,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:23:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.288,0.462,2,-8.91,0,0.0335,0.767,0.00704,0.112,0.217,159.53,4
spotify:track:7tMn4y7eBEMcUFIWZPaHCM,"Pirai Thedum","Mayakkam Enna","Saindhavi,G. V. Prakash",2011,332711,0,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:23:54Z,"devotional,tamil pop,bhajan,kollywood,tamil dance,tamil hip hop,tollywood","Gemini Audio/Gemini Entertainment & Mobile Media Services",0.638,0.631,4,-6.993,0,0.0353,0.624,0.0144,0.074,0.46,119.973,4
spotify:track:5Jq6Ev7WYvcPgphHYDXv0S,"Enthaaraa Enthaaraa - From Thirumanam Ennum Nikkah","I Love Ghibran","Shadab Faridi,Chinmayi",2017-05-02,279928,50,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:23:57Z,"bollywood,hindi pop,desi,sufi,tollywood,tamil pop,telugu pop,kollywood,marathi pop","Think Music",0.595,0.759,7,-5.623,0,0.0321,0.695,0.000307,0.123,0.391,104.997,3
spotify:track:1VBkQidkoJXhQPJsAvSkNP,"Nenjukulla Nee","Vadacurry (Original Motion Picture Soundtrack)","Vijay PrakashDiwakarAjesh",2014-09-16,298760,0,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:24:12Z,"","Divo",0.503,0.884,2,-4.756,1,0.108,0.313,0.00000249,0.0861,0.75,119.861,4
spotify:track:48vEUc5MnUiqtrbclwVZPz,"Poongatrile (From Uyire)","Hits of A.R.Rahman Isai Saral","Unni Menon,Swarnalatha",2013-12-29,340874,55,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:25:11Z,"tamil pop,malayalam pop,kollywood,tamil dance","New Music",0.75,0.341,11,-13.368,0,0.0381,0.267,0,0.0951,0.602,121.999,4
spotify:track:43zT3oDEP3I5FiZWugfqCZ,"Adada Adada","Santhosh Subramaniyam (Original Motion Picture Soundtrack)","Siddharth,Devi Sri Prasad",2008-05-21,245629,58,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:26:04Z,"tollywood,telugu pop,tamil pop,kollywood,tamil dance","Bravo",0.876,0.834,7,-4.653,1,0.137,0.164,0.00021,0.108,0.788,103.012,4
spotify:track:5uhAAyQlgzOgghJp5XSigQ,"Para Para","Neerparavai (Original Motion Picture Soundtrack)","N.R. Raghunanthan,G. V. Prakash",2012-10-10,319026,62,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:30:34Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.79,0.467,2,-5.321,0,0.0387,0.862,0.000021,0.188,0.742,119.946,3
spotify:track:6fiEn0IhNr65GbFpHjhhCc,"Ambikapathy (From Ambikapathy)","Rahmania - Storm of Love","A.R. Rahman,Naresh Iyer",2013-10-04,256360,0,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:30:51Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop","Sony Music Entertainment",0.676,0.702,6,-8.891,0,0.0455,0.255,0.0000199,0.114,0.627,113.006,4
spotify:track:3RVKJOoIVKXicFvNO7b2iK,"Aaruyire","Guru (Original Motion Picture Soundtrack)","A.R. Rahman,Chinmayi,Murtuza Khan,Qadir Khan",2006-09-11,308786,69,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-22T19:31:15Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tollywood,telugu pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.746,0.803,9,-3.813,1,0.0366,0.275,0.000017,0.0741,0.831,144.024,4
spotify:track:5eoah7D3oxCqz6n0clmC0I,"Kadhal Yennulle","Neram (Original Motion Picture Soundtrack)","Rajesh Murugesan,Ranjith Govind",2013-05-03,281906,47,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-24T19:36:34Z,"mollywood,malayalam pop,tamil dance,telugu pop,tollywood,tamil pop,kollywood","Think Music",0.638,0.581,1,-7.36,1,0.0255,0.163,0.0000276,0.061,0.613,103.907,4
spotify:track:3dn1dBimUAxhJtXnzljrWO,"Yedhedo Ennangal","Pattiyal (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Shweta Mohan,Pa. Vijay",2006,256831,48,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-25T19:34:35Z,"tamil pop,kollywood,tamil dance,tamil hip hop,malayalam pop,mollywood,tollywood,telugu pop","Roja/Mass Audio",0.753,0.915,10,-7.246,0,0.065,0.0475,0.00158,0.0561,0.95,80.015,4
spotify:track:73C5Q80RK1T5CA68F6foTl,"Yedho Ondru","Lesa Lesa","Harish Raghavendra,Srilekha Parthasarathy,Franko",2020-07-13,336962,0,false,8fahpt4ilo8htwfzgu52yqy7w,2022-01-25T19:34:42Z,"tamil pop,kollywood,telugu pop,tollywood,tamil dance","Think Tapes",0.709,0.535,9,-8.152,0,0.0357,0.164,0,0.0877,0.749,99.965,4
