Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZFbXIJkuI1dVNWvzJzown,"Time","Inception (Music from the Motion Picture)","Hans Zimmer",2010-07-09,275556,73,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:28:32Z,"soundtrack","WaterTower Music",0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,4
spotify:track:7u5XBHnht6dyoRXRBb5soK,"Iron Man 3","Iron Man 3 (Original Motion Picture Soundtrack)","Brian Tyler",2013-01-01,143453,54,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:28:41Z,"soundtrack","Hollywood Records",0.381,0.582,2,-11.52,1,0.0406,0.0328,0.94,0.0843,0.0697,133.991,4
spotify:track:6tJFtthY0rI1x06qb8NjK0,"The Mandalorian","The Mandalorian: Chapter 1 (Original Score)","Ludwig Göransson",2019-11-11,198861,60,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:28:47Z,"soundtrack","Walt Disney Records",0.417,0.408,5,-13.343,0,0.0761,0.535,0.655,0.102,0.233,165.799,4
spotify:track:2we98JyIRiUT0oVtthsNgv,"Dheemthanakka Thillana","Villu","Devi Sri Prasad",2008-12-13,249755,0,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:29:30Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood","Eros Ayangaran",0.844,0.657,2,-5.974,1,0.0438,0.191,0.015,0.0996,0.751,136.984,4
spotify:track:0YsBr7XFEapZmYeU5a9IFz,"Jingunamani","Jilla (Original Music Picture Soundtrack)","Ranjith Govind,Sunidhi Chauhan",2013-12-21,258000,59,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:29:44Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,bollywood,desi,hindi pop","Star Music",0.804,0.815,0,-4.424,1,0.0539,0.279,0.000451,0.0948,0.968,120.009,4
spotify:track:3p4vXmvE970zZSZUF0GUnT,"Dailamo Dailamo","Dishyum (Original Background Score)","Vijay Antony,Sangeetha Rajeshwaran",2006-01-25,267666,61,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:29:48Z,"tamil dance,tamil pop,kollywood,tamil hip hop","VMS Music Records and Publishing Sdn Bhd",0.814,0.663,6,-7.802,0,0.0565,0.121,0,0.587,0.815,125.03,4
spotify:track:28fPIWqAfqoEEGSb0rA4LZ,"Oo Solriya Oo Oo Solriya (From Pushpa - The Rise)(Tamil)","Oo Solriya Oo Oo Solriya (From Pushpa - The Rise)(Tamil)","Devi Sri Prasad,Andrea Jeremiah,Viveka",2021-12-10,223271,59,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:29:52Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood","Aditya Music",0.904,0.706,5,-6.717,0,0.0846,0.447,0.0851,0.197,0.486,128.038,4
spotify:track:2LLZkWMReCWhgTrHuRh6dV,"Ullaallaa - From Petta","Petta (Original Motion Picture Soundtrack)","Anirudh Ravichander,Nakash Aziz,Inno Genga",2018-12-10,296000,55,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:29:57Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.536,0.814,8,-4.504,0,0.282,0.403,0.0000108,0.0501,0.704,99.774,3
spotify:track:6cEIXTWcpzWdUfs7KZox3j,"Namma Kattula","Pattiyal (Original Motion Picture Soundtrack)","Ilaiyaraaja,Roshini,Pa. Vijay",2006,234700,52,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:30:00Z,"tamil pop,kollywood,tamil dance","Roja/Mass Audio",0.866,0.653,2,-7.006,1,0.0569,0.0301,0,0.176,0.311,105.005,4
spotify:track:3G9cFVzS9iY8aXdBcHFE2f,"Kathala Kannala","Anjathe (Original Motion Picture Soundtrack)","Naveen Madhav",2020-01-21,274800,0,false,31ve7ivjzdtxaizp6s64jyn5dvia,2022-12-27T09:30:05Z,"tamil dance,tamil pop,kannada pop,kollywood,tollywood,telugu pop","UIE",0.737,0.85,8,-3.126,1,0.129,0.0997,0.00000156,0.053,0.595,135.992,4
