Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ahzMmJSHyPElWbBb0GMuC,"From The Bottom Of Our Hearts","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar RajaRam",2016-12-31,126999,0,false,chelzi.r,2020-07-12T15:26:43Z,"","Divo",0.662,0.264,1,-16.774,1,0.102,0.882,0.0000968,0.175,0.364,92.855,3
spotify:track:1E6anXkNpfIReDMQ3fMsLg,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2005-12-15,382066,0,false,chelzi.r,2020-07-12T14:55:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Eros Ayangaran",0.72,0.533,6,-6.43,1,0.0407,0.301,0.0000239,0.0773,0.75,80,4
spotify:track:4Qa8HXMg5HFlP4g4Qy3XFS,"Unnai Kandane","Parijatham (Original Motion Picture Soundtrack)","Haricharan,Sruthi",2005-05-29,293760,49,false,chelzi.r,2020-07-12T14:55:56Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop","Saai Media",0.721,0.616,8,-10.748,1,0.0331,0.108,0.0000573,0.109,0.47,121.893,4
spotify:track:2WiYbMi6kTLAWSCUbzf5zm,"Pogadhe","Deepavali (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2007-01-05,330400,0,false,chelzi.r,2020-07-12T14:57:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Eros Ayangaran",0.655,0.518,4,-8.084,1,0.0349,0.724,0.0000028,0.145,0.122,80.152,4
spotify:track:4CUG3LbPjQAP9jLLQSjJk0,"Vizhiyil","Kireedam","Sonu Nigam,Swetha",2009-10-14,288226,53,false,chelzi.r,2020-07-12T15:05:33Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,telugu pop,tollywood,tamil pop,tamil dance","T-Series",0.648,0.734,2,-7.429,1,0.0774,0.0707,0.0000021,0.0868,0.208,93.009,4
spotify:track:3lsQowMazvA01xFnbrnXLJ,"Unnarugil Varugaiyil","Kalloori (Original Motion Picture Soundtrack)","Haricharan,Harini Sudhakar",2007-10-22,328680,0,false,chelzi.r,2020-07-12T15:06:21Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop,sandalwood","Think Music",0.684,0.805,9,-3.632,0,0.046,0.129,0.0000018,0.161,0.547,89.98,4
spotify:track:6bkttY4k57BxttJMfBzN77,"Kadhaigal Pesum","Angadi Theru (Original Motion Picture Soundtrack)","Hamsika Iyer,Benny Dayal",2009-05-03,324126,0,false,chelzi.r,2020-07-12T15:12:54Z,"bollywood,desi,hindi pop","Eros Now Music",0.754,0.65,9,-5.85,0,0.0328,0.383,0,0.0708,0.621,129.913,4
spotify:track:6rtFjXnM19hFLm9sK2cUaz,"Un Peyarai Sollum","Angadi Theru (Original Motion Picture Soundtrack)","Suresh Iyer,Haricharan,Shreya Ghoshal",2009-05-03,368388,0,false,chelzi.r,2020-07-12T15:13:39Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop,bollywood,hindi pop,desi,marathi pop","Eros Now Music",0.62,0.67,4,-5.795,0,0.064,0.445,0.00000174,0.0975,0.46,93.993,4
spotify:track:1F91mnfHugIEvUTNAwZca5,"Avanapathi","Avan Ivan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,T. L. Maharajan,Sathyan",2011-04-18,341800,31,false,chelzi.r,2020-07-12T15:17:15Z,"tamil pop,kollywood,tamil dance,tamil hip hop,devotional","Sony Music Entertainment India Pvt. Ltd.",0.737,0.886,2,-4.284,1,0.281,0.477,0.000124,0.0663,0.726,74.952,4
spotify:track:2uvWe7sfelTQEx3pieTQ6a,"Orayiram","Nandha (Original Motion Picture Soundtrack)","Unnikrishnan,Na.Muthukumar",2001-10-16,209371,35,false,chelzi.r,2020-07-12T15:25:05Z,"tamil pop,kollywood,telugu pop,tamil dance","Five Star Audio",0.762,0.264,1,-16.25,1,0.0613,0.344,0.00624,0.102,0.276,111.016,4
spotify:track:7acN9HaStRBkP2UTOOpQ9q,"Paravaiye Engu Irukkirai","Tamil M.A.","Ilaiyaraaja",2009-11-21,369360,52,false,chelzi.r,2020-07-12T15:25:43Z,"tamil pop,kollywood","T-Series",0.829,0.622,3,-10.679,0,0.0512,0.424,0.000538,0.209,0.757,129.969,4
spotify:track:7F6S2iyZaDS7AThJaHftJI,"Devathaiya Kandein","Kadhal Kondaen","Harish Raghavendra",2003-04-16,310612,57,false,chelzi.r,2020-07-12T15:25:49Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.879,0.434,7,-10.778,0,0.0385,0.113,0.0000246,0.105,0.794,110.018,4
spotify:track:6wdyJnmcSeBXUyR6H5gGKd,"Suttum Vizhi","Ghajini (Original Motion Picture Soundtrack)","Sriram Parthasarathy,Bombay Jayashri",2005,318600,63,false,chelzi.r,2020-07-12T15:25:57Z,"tamil pop,kollywood","Roja/Mass Audio",0.789,0.592,7,-7.063,0,0.0501,0.0808,0.00079,0.084,0.946,96.969,4
spotify:track:7hMKAmUlUUYa5qEiHWK4bk,"Pookkal Pookkum","Madharasapattinam (Original Motion Picture Soundtrack)","G. V. Prakash,Roop Kumar Rathod,Harini,Andrea Jeremiah",2010-04-04,396466,70,false,chelzi.r,2020-07-12T15:26:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,sufi,hindi pop,desi,telugu pop","Think Music (India)",0.589,0.424,4,-12.006,0,0.0359,0.844,0.00381,0.169,0.561,119.823,4
spotify:track:5wHRzbzZhlrFClgnoeRXWW,"Unn Badhil Vendi","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar RajaSiddharthSruthi S",2016-12-31,262999,0,false,chelzi.r,2020-07-12T15:26:25Z,"","Divo",0.416,0.512,3,-6.994,0,0.0526,0.686,0.00000176,0.111,0.184,164.867,4
spotify:track:7Jw8gyXAAdxWMtHPnyZmF1,"Kan Pesum Varthaigal (From 7/G Rainbow Colony)","Ilayaraja & Yuvan Shankar Raja Hits","Karthik",2013-07-09,348290,37,false,chelzi.r,2020-07-12T15:33:43Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Five Star Audio",0.77,0.731,10,-9.328,0,0.0597,0.0811,0.0255,0.0746,0.856,80.99,4
spotify:track:7r0lDzamM2w3VzLwxs2LEs,"Kanaa Kaanum (From 7/G Rainbow Colony)","Love Hits of Yuvan","Harish Raghavendra,Madhumathi",2013-08-14,329926,34,false,chelzi.r,2020-07-12T15:34:25Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.777,0.635,10,-8.99,0,0.0783,0.282,0.00000241,0.111,0.361,100,4
spotify:track:5QoCBy9eUHYkeWpEpzAud9,"Konji Pesida Venaam","Sethupathi (Original Motion Picture Soundtrack)","Nivas K Prasanna,K. S. Chithra,Sriram Parthasarathy",2016-01-20,226784,65,false,chelzi.r,2020-07-12T15:35:21Z,"tamil pop,kollywood,malayalam pop,telugu pop,kannada pop,mollywood,tollywood,devotional,sandalwood","Think Music",0.756,0.661,2,-5.769,0,0.0972,0.187,0.00000626,0.0774,0.635,88.001,4
spotify:track:6Jxd7wVisXOT306ncXCHzt,"Para Para Para Pattampochi","Tamil M.A.","Rahul",2009-11-21,248733,39,false,chelzi.r,2020-07-12T22:31:00Z,"telugu pop,tollywood","T-Series",0.795,0.604,8,-6.632,1,0.0315,0.649,0.00554,0.143,0.885,115.027,3
spotify:track:5rW6PRcNUwK2q625gkbMks,"Pesugiraen","Satham Podathey (Original Motion Picture Soundtrack)","Neha Bhasin",2007-09-14,330200,0,false,chelzi.r,2020-07-20T05:41:48Z,"bollywood,telugu pop,tollywood","Eros Ayangaran",0.805,0.346,5,-10.126,1,0.0601,0.0499,0.000474,0.0582,0.548,149.986,4
spotify:track:2IAhbVu3XwYkpqmQAedMvf,"Thottu Thottu","Kaadhal (Original Motion Picture Soundtrack)","Haricharan,Harini Sudakaran",2004-10-18,337085,0,false,chelzi.r,2020-08-07T17:30:40Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop","New Music",0.72,0.482,0,-8.888,0,0.0377,0.401,0.000489,0.0986,0.497,129.994,4
spotify:track:6DeDm2MAuaGQQp2lgolS5y,"Oru Devathai","Veppam (Original Motion Picture Soundtrack)","Joshua Sridhar,Clinton,Shweta Mohan",2011-01-06,362040,30,false,chelzi.r,2020-09-07T01:30:14Z,"tamil pop,kollywood,malayalam pop,mollywood,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.742,0.779,10,-3.731,1,0.0248,0.0615,0.0000327,0.116,0.788,111.012,4
spotify:track:2xESTNHjL6LIT62bOTX9g3,"Enna Ithu Enna Ithu","Nala Dhamayanthi","Ramesh Vinayakam,Chinmayi",2003-03-23,313693,0,false,chelzi.r,2020-10-14T04:46:33Z,"telugu pop,devotional,tollywood,kollywood,tamil pop,marathi pop,bollywood,hindi pop","Anak Audio",0.61,0.39,9,-10.069,1,0.0286,0.893,0.000122,0.151,0.468,135.908,5
spotify:track:0c4vAnBgWbzyGbq4si0QNn,"Pada Pada","Vennila Kabadi Kuzhu (Original Motion Picture Soundtrack)","V. Selvaganesh,Karthik",2009-10-17,276693,31,false,chelzi.r,2021-01-04T15:44:48Z,"tamil pop,telugu pop,tollywood,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Think Music (India)",0.681,0.658,2,-8.35,1,0.0396,0.254,0.000539,0.113,0.534,149.908,4
spotify:track:7EmngHLT8WQhetqJFdWdcN,"Lesa Parakkudhu","Vennila Kabadi Kuzhu (Original Motion Picture Soundtrack)","V. Selvaganesh,Chinmayi,Karthik",2009-10-17,290053,47,false,chelzi.r,2021-01-04T15:45:03Z,"tamil pop,tollywood,telugu pop,kollywood,marathi pop,bollywood,hindi pop,kannada pop,malayalam pop,tamil dance,mollywood","Think Music (India)",0.73,0.574,9,-7.688,1,0.0534,0.378,0.00000162,0.113,0.557,139.927,4
spotify:track:2wBzUQIFN5RwNgi0ghL9Oc,"Un Perai Sonnale","Dumm Dumm Dumm (Original Motion Picture Soundtrack)","Unnikrishnan,Sadhana Sargam,Na.Muthukumar",2001-12-31,358866,29,false,chelzi.r,2021-01-05T06:19:38Z,"tamil pop,kollywood,telugu pop,bollywood,tamil dance","Saregama",0.845,0.557,10,-9.499,0,0.0324,0.339,0.0000121,0.0915,0.939,120.006,4
