Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4iOJpwsMIbsuKLpsa8pTUq,"Poove Sem Poove - Male","Solla Thudikuthu Manasu (Original Motion Picture Soundtrack)","K. J. Yesudas",1984-12-30,333139,62,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:19:14Z,"malayalam pop,devotional,mollywood,tamil pop","IMM",0.676,0.424,2,-9.503,0,0.0305,0.859,0.00185,0.129,0.639,138.599,3
spotify:track:2RZtx21gOL0GwRxd23T3S6,"Valaiyosai","Sathya (Original Motion Picture Soundtrack)","Ilaiyaraaja,S. P. Balasubrahmanyam,Lata Mangeshkar",1988-01-01,274500,61,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:05Z,"tamil pop,kollywood,telugu pop,kannada pop,devotional,tollywood,sandalwood,ghazal,bollywood,bhajan,hindi pop,marathi pop","Echo Recording Co. Pvt. Ltd.",0.725,0.404,9,-12.19,0,0.052,0.923,0.53,0.206,0.435,123.182,4
spotify:track:55JfAOILA0T6x9tekwfib8,"Raja Raja Chozhan","Rettai Vaal Kuruvi (Original Motion Picture Soundtrack)","K. J. Yesudas",1987,274800,48,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:10Z,"malayalam pop,devotional,mollywood,tamil pop","Imm",0.51,0.332,0,-13.692,0,0.0456,0.773,0.000115,0.0713,0.833,155.955,3
spotify:track:24Cl3MgSNdYnOSUBUZkRLY,"Oru Kili Uruguthu","Aanandha Kummi (Original Motion Picture Soundtrack)","S. Janaki,S. P. Sailaja",1983,274860,58,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:13Z,"kannada pop,tamil pop,telugu pop,sandalwood,tollywood,devotional","IMM",0.533,0.376,4,-12.401,0,0.0491,0.847,0.0000122,0.107,0.546,91.936,4
spotify:track:5516Fo5YISqWZVqda1Q6O4,"Kalyaana Maalai","Pudhu Pudhu Arthangal (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam",1989,279013,46,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:17Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","IMM",0.515,0.471,1,-10.979,0,0.0297,0.977,0.537,0.32,0.692,151.502,5
spotify:track:5ilUJK8efHD5ULhtYS94TR,"Keladi Kanmani","Pudhu Pudhu Arthangal (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam",1989,274625,43,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:26Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","IMM",0.336,0.544,9,-11.368,1,0.0511,0.726,0.0000822,0.397,0.396,80.713,4
spotify:track:3jrOziEVwpJAETyEDZ5HWa,"Rasathi Unnai","Vaidehi Kathirunthal (Original Motion Picture Soundtrack)","P. Jayachandran",1984,263575,49,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:30Z,"malayalam pop,mollywood","Imm",0.629,0.427,3,-8.872,1,0.0272,0.41,0.00774,0.451,0.845,95.478,3
spotify:track:4b5m9ozBsFjIhDbg0IRpbL,"Thenpandi Cheemayile","Nayagan (Original Motion Picture Soundtrack)","Ilaiyaraaja,Kamal Haasan",1987-10-21,272639,57,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:33Z,"tamil pop,kollywood,tamil dance","Imm",0.462,0.217,4,-11.436,0,0.0466,0.873,0,0.339,0.388,120.971,3
spotify:track:7bQ7f7KtXZ5Tcnj0UDUAtp,"Kanmani","Gunaa","Kamal Haasan,S. Janaki",1991,326860,0,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:37Z,"tamil pop,kollywood,tamil dance,kannada pop,telugu pop,sandalwood","Music Masters Audio Video LLP",0.623,0.298,1,-14.286,1,0.166,0.861,0,0.177,0.67,123.281,4
spotify:track:5qW4C3GwfXjU6crJna4w1b,"Aasai Athigam (From Marupadiyum)","Solo Songs of S. Janaki Vol -1","S. Janaki",2016,299096,0,false,yc9bc692tfx4r6ng1n2xthhbg,2022-11-26T08:30:41Z,"kannada pop,tamil pop,telugu pop,sandalwood","Music Masters Audio Video LLP",0.674,0.745,10,-8.01,1,0.0844,0.778,0.00148,0.178,0.963,166.386,3
