Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6OEY4EgyHxwJ8IhanTnvEL,"Vizhi Veekura - From Think Indie","Vizhi Veekura (From Think Indie)","Sai Abhyankkar,Sai Smriti,Adesh Krishna",2025-07-07,219784,67,false,,2025-07-07T13:33:54Z,"tamil indie,tamil pop,kollywood","Think Music",0.525,0.637,4,-5.822,1,0.0278,0.113,0,0.128,0.301,112.51,4
spotify:track:7s3PpuKaceVTQ5G5llFvHw,"Kondaadathaan","Kondaadathaan","Ananya Bhat,Muvi",2025-07-14,189818,23,false,,2025-07-15T12:14:06Z,"kannada pop,sandalwood,tamil pop","Ananya Bhat",0.876,0.665,0,-7.899,1,0.0925,0.564,0.0019,0.0512,0.851,109.987,4
spotify:track:3xmDeQMq6cCD2ZJqdkM68u,"Chi Pae Thu","Chi Pae Thu","Dharan Kumar,Santhosh Narayanan,Vaaheesan Rasaiya",2025-07-18,222017,32,false,,2025-07-19T08:56:59Z,"tamil pop,kollywood,tamil indie,tamil dance,tamil hip hop","Saregama India Ltd",0.755,0.836,8,-5.607,1,0.3,0.0571,0,0.0325,0.77,157.1,4
spotify:track:19P25njcvlgFUiFa06EP5k,"Kavava","Kavava","Masala Coffee",2025-07-25,232501,24,false,,2025-07-25T07:37:24Z,"kollywood,malayalam hip hop,tamil pop,malayalam pop,tamil dance","Masala Coffee",0.523,0.703,10,-5.235,1,0.0444,0.0551,0.0000245,0.113,0.475,98.038,4
spotify:track:5zgalMo7LWrUPbnv9tgupN,"Paiya Dei - From Think Indie","Paiya Dei (From Think Indie)","Asal Kolaar,Anand Kashinath",2024-10-17,155400,69,false,,2024-10-25T14:03:33Z,"tamil hip hop,tamil indie,malayalam hip hop,tamil dance,tamil pop,kollywood","Think Music",0.815,0.752,5,-5.939,0,0.302,0.414,0.000211,0.33,0.489,100.089,4
spotify:track:3DeZvuEkzY8VY9dwI3LudQ,"Kanavey","Kanavey","Isaac Philip,RAJ-RIZ,Vyshu Maya",2025-07-16,226285,25,false,,2025-07-21T06:35:06Z,"tamil indie,tollywood,telugu pop","Dream Warrior Pictures",0.447,0.475,11,-9.982,1,0.0504,0.457,0.0000195,0.0902,0.407,160.177,4
spotify:track:30QBSAgIHB1rQpjyNWoXhC,"Maman Ponney","Maman Ponney","Anthakudi Ilayaraja",2025-08-07,224000,0,false,,2025-08-07T10:42:31Z,"tamil pop,tamil dance,kollywood","MRT Music",0.74,0.624,7,-8.252,0,0.0438,0.614,0,0.0805,0.701,97.932,4
spotify:track:0KCcfTDTQSHQTwOyLZexjE,"Sirikkiren","Sirikkiren","Sreejith Edavana,Kapil Kapilan,Navin Kannan",2025-07-18,209333,26,false,,2025-07-18T07:06:04Z,"mollywood,malayalam pop,kollywood,tamil pop,kannada pop,tollywood,tamil indie","Universal Music India Pvt Ltd.",0.58,0.622,2,-7.572,1,0.0319,0.0869,0.00029,0.105,0.266,90.029,4
spotify:track:7Et1EN5V7xAyPjYOk8nSh3,"Nenjin Ezhuth","Nenjin Ezhuth","Adarsh Krishnan N,Vidya Lakshmi G",2022-05-16,229399,67,false,,2024-05-13T07:14:23Z,"malayalam hip hop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.522,0.533,7,-10.352,0,0.0369,0.806,0.0000245,0.0939,0.355,133.989,4
spotify:track:5Iyw63IlOUriO02qaTkbGY,"Theeradhey","Theeradhey","Sanah Moidutty,rudh,Sambarsoru,Adesh Krishna",2025-07-30,164978,18,false,,2025-07-30T09:48:18Z,"malayalam pop,indian indie,mollywood,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.71,0.641,11,-6.817,0,0.133,0.507,0.00294,0.245,0.377,95.969,4
spotify:track:2JDK1i0uILo18zLzdfofTz,"GILUGILUPPU","GILUGILUPPU","Maya S Krishnan,Siennor",2025-07-13,178512,29,false,,2025-07-17T11:06:46Z,"tamil indie,indian indie","Maya S Krishnan",0.888,0.585,9,-7.554,1,0.119,0.533,0.0118,0.15,0.417,120.935,4
spotify:track:3sgUiQHGyHVAavw8HAh80W,"Only Fans","Only Fans","Hiphop Tamizha",2025-05-27,168402,36,false,,2025-06-03T11:18:54Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Hiphop Tamizha",0.713,0.661,0,-6.02,0,0.0664,0.278,0.000134,0.137,0.475,167.096,4
spotify:track:0TCM3afjjjDMXN90yAx4Ou,"Seema Singari","Seema Singari","Anthakudi Ilayaraja",2025-08-04,222000,3,false,,2025-08-05T13:29:41Z,"tamil pop,tamil dance,kollywood","MRT Music",0.509,0.874,9,-6.979,0,0.136,0.249,0.0000988,0.181,0.703,87.5,4
spotify:track:6Kce5uCS0w2fFXJHZHhaPm,"MONTHS","MONTHS","Ramya RamC,S Shrikar Prathyumnan",2025-08-06,171659,1,false,,2025-08-07T10:41:28Z,"malayalam hip hop,malayalam pop,mollywood","Supernova Records",0.411,0.366,4,-15.765,0,0.0415,0.862,0.000335,0.216,0.45,114.68,4
spotify:track:1uQU9b93tlMlMoZ0h2bRgf,"Sithira Puthiri - From Think Indie","Sithira Puthiri (From Think Indie)","Sai Abhyankkar,Vivek",2025-01-31,226465,71,false,,2025-01-31T14:54:10Z,"tamil indie,tamil pop,kollywood,tamil dance","Think Music",0.467,0.723,2,-7.539,0,0.146,0.247,0,0.364,0.316,105.093,3
spotify:track:1HwRiAIVRGN7bcHq8pyAYW,"Poi Sollure","Poi Sollure","SATTHIA,Saindhavi,Vikadakavi",2025-07-11,260400,35,false,,2025-07-14T06:26:40Z,"tamil indie,tamil hip hop,tamil pop,devotional,bhajan,kollywood,tamil dance,desi hip hop","SATTHIA",0.488,0.858,0,-5.788,0,0.418,0.394,0,0.0697,0.597,89.777,4
spotify:track:2tXKNCfIsFni2KZlJ0eY0x,"222","222","Stanley Xavier",2024-11-06,284000,35,false,,2025-01-24T04:59:24Z,"tamil indie,tamil pop","Stanley Xavier",0.658,0.746,7,-7.16,0,0.0299,0.468,0.119,0.311,0.546,119.99,4
