Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5jXrULyYKHjkAMk4TXZFoG,"Kaadhal Endral","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,87133,58,false,4y2m4iagyenn1yjk2y16woxve,2021-04-30T06:29:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.638,0.324,0,-7.787,0,0.0321,0.923,0.0000335,0.151,0.446,129.932,4
spotify:track:5BYyEjrCDVqtppYcxsXqZs,"Pogadhe","Deepavali (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2007-01-05,330400,0,false,4y2m4iagyenn1yjk2y16woxve,2021-04-30T06:29:57Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.655,0.518,4,-8.084,1,0.0349,0.724,0.0000028,0.145,0.122,80.152,4
spotify:track:67JaiNOduJNca6YBUKUkkh,"Veera Soora Kathir Theme - Brazilian Phonk","Veera Soora Kathir Theme - Brazilian Phonk","Rithick J,Yuvan Shankar Raja",2024-09-14,101075,12,false,4y2m4iagyenn1yjk2y16woxve,2024-09-16T06:52:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Saregama India Ltd",0.888,0.762,9,-5.33,0,0.124,0.00402,0.652,0.253,0.342,120.014,4
spotify:track:2iNJLpdQZJE7bt8dRZpY2E,"Morattu Single","Morattu Single","Sai Zakaz,Gelntrixzy",2020-07-30,218181,38,true,4y2m4iagyenn1yjk2y16woxve,2024-03-17T09:50:33Z,"tamil hip hop,malayalam hip hop,tamil indie,mollywood","Kala Man",0.827,0.551,11,-10.523,1,0.246,0.128,0,0.0951,0.687,87.991,4
spotify:track:7hfwZBPyr8njVqnWtA8xNI,"Idhayam (From Billa 2)","My Playlist: Yuvanshankar Raja","Yuvan Shankar Raja,Shweta Pandit",2014-08-18,244120,25,false,4y2m4iagyenn1yjk2y16woxve,2022-11-12T14:14:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,desi","Sony Music Entertainment India Pvt. Ltd.",0.49,0.524,10,-6.926,1,0.0681,0.387,0.0000397,0.0982,0.201,179.672,3
spotify:track:3FRLxtpSk9BxxnxdS6I4jq,"Iragai Poley","Naan Mahaan Alla (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-07-16,317739,64,false,4y2m4iagyenn1yjk2y16woxve,2021-04-30T06:30:02Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004,4
spotify:track:0CkDv2V3FFhltON32OwE0x,"Manmadhane Nee","Manmadhan","Yuvan Shankar Raja,Sadhana Sargam",2004,271339,0,false,4y2m4iagyenn1yjk2y16woxve,2022-11-12T14:14:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood","Think Tapes",0.614,0.77,5,-6.622,0,0.0574,0.333,0.000144,0.405,0.423,89.91,4
spotify:track:4t2lPMOLcSRgbI2fZ7iYve,"Aathadi Manasudhan (From Kazhugoo)","Take 10: Yuvanshankar Raja","Yuvan Shankar Raja,Priya Hemesh",2013-11-22,309666,32,false,4y2m4iagyenn1yjk2y16woxve,2022-08-10T19:47:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.639,0.476,3,-7.675,0,0.043,0.138,0.0523,0.0865,0.353,160.093,4
spotify:track:5gZt4NigILer0fAFqlmqQS,"THULLICHAADU","THULLICHAADU","Sai Zakaz,Rakz Radiant,Dan Pearson",2022-02-12,160208,23,false,4y2m4iagyenn1yjk2y16woxve,2024-03-17T09:50:44Z,"tamil hip hop,malayalam hip hop,tamil indie,mollywood,malayalam pop","Kala Man",0.883,0.471,1,-9.988,1,0.338,0.00815,0.00000382,0.109,0.623,149.955,3
spotify:track:3eVkn2lYFVq8vZNDR0gf1Z,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2005-12-15,382066,0,false,4y2m4iagyenn1yjk2y16woxve,2021-04-30T06:30:17Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.72,0.533,6,-6.43,1,0.0407,0.301,0.0000239,0.0773,0.75,80,4
