Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6dZCuf6SGn2rh9q94JBLlv,"Idhu Varai","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Ajesh,Andrea Jeremiah",2010-01-01,284480,63,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T16:54:19Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:5qP6NsmHHTpgFZ23KezwVG,"Yenga Area","Pudhupettai","Dhanush",2005-12-15,316093,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-04-01T15:28:56Z,"tamil dance,tamil pop,kollywood","Ayngaran",0.55,0.9,5,-6.845,0,0.0948,0.171,0.00339,0.399,0.778,129.916,4
spotify:track:3c1tJAYgROZEdqRfm7Wsny,"Yedho Ondru Ennai","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-22,213520,59,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T16:58:18Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.858,0.447,10,-7.917,1,0.0343,0.67,0.0000919,0.0738,0.256,119.98,4
spotify:track:7F6S2iyZaDS7AThJaHftJI,"Devathaiya Kandein","Kadhal Kondaen","Harish Raghavendra",2003-04-16,310612,57,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T16:59:45Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.879,0.434,7,-10.778,0,0.0385,0.113,0.0000246,0.105,0.794,110.018,4
spotify:track:6HUBMSP66XE9nWMoMYhqo1,"Paathagathi Kannupattu","Kazhugoo (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2011-11-23,270813,53,false,31dpye3ymnghifxjngxds6ih3oku,2021-04-01T15:40:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.836,0.541,3,-7.134,0,0.0374,0.666,0.0132,0.0867,0.452,142.358,3
spotify:track:3qTNm4Mta37YmEcLeQcdw3,"Oru Devathai","Vaamanan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Roop Kumar Rathod",2009-04-13,296760,63,false,31dpye3ymnghifxjngxds6ih3oku,2021-04-01T15:52:08Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,sufi,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.625,0.492,0,-9.618,0,0.0332,0.163,0.000781,0.111,0.28,120.033,4
spotify:track:0xN4nwgOWg59k0t94CJAj4,"Matta (From The Greatest Of All Time)","Matta (From The Greatest Of All Time)","Yuvan Shankar Raja,Shenbagaraj,Velu,Sam,Narayanan Ravishankar",2024-08-31,212090,61,false,31dpye3ymnghifxjngxds6ih3oku,2024-09-16T09:43:24Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","T-Series",0.7,0.941,5,-3.629,0,0.337,0.327,0.000961,0.19,0.704,155.093,4
spotify:track:4HBDcyTmazbfvNchzmKTC1,"Pachchai Vanna","Vai Raja Vai (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Madhan Karky",2014-12-10,255000,46,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:18:42Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.686,0.689,9,-4.73,0,0.0379,0.158,0,0.0422,0.446,120.031,4
spotify:track:3Vjfh7FoOIg6lRDsFNbVv7,"Vaanam","Vaanam (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-28,224106,54,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:07:05Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ishtar Music Pvt. Ltd.",0.573,0.549,0,-4.448,0,0.0269,0.269,0.0000897,0.383,0.311,113.99,4
spotify:track:4uSy3HJM1MaBk6IeehkSgD,"Adada Mazhaida","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Rahul Nambiar,Saindhavi",2010-11-22,267120,64,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:11:44Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,devotional,bhajan","Think Music (India)",0.891,0.691,6,-9.417,0,0.0588,0.29,0.00564,0.0596,0.666,120.004,4
spotify:track:0uVrPeEM1Q02sbGA3zJ3CC,"Nanbane","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Madhushree",2011-08-10,302600,56,false,31dpye3ymnghifxjngxds6ih3oku,2021-04-01T17:27:37Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.451,0.306,2,-6.325,0,0.0403,0.82,0.00544,0.207,0.262,102.659,4
spotify:track:4lvTfq817mnTPF2eibBdIP,"Kadhal Valarthen","Manmadhan","Yuvan Shankar Raja,KK",2004,448641,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:09:06Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Think Tapes",0.711,0.647,0,-7.44,0,0.0578,0.484,0.00000131,0.0863,0.458,122.918,4
spotify:track:3P6zRJ409f09GI1iNwjcpa,"Oh Shala Oh Shala","Kaadhal Solla Vandhen (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-06-16,254033,51,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:19:49Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.717,0.624,1,-7.096,1,0.0381,0.0754,0.000762,0.0989,0.472,159.926,4
spotify:track:0J1jYE3nsf7VoSumJSiVOD,"Kaatrukullai","Sarvam","Yuvan Shankar Raja",2009-02-14,264532,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-04-01T15:36:49Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.805,0.588,5,-5.786,0,0.0311,0.431,0.00124,0.118,0.518,119.99,4
spotify:track:5kVjNlwI6vDvbuYJohhUqh,"Kannai Vittu","Pattiyal (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Pa. Vijay",2006,147078,45,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:20:19Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Roja/Mass Audio",0.691,0.806,5,-8.286,0,0.0633,0.0729,0.00452,0.102,0.958,76.992,4
spotify:track:6GH5qLVhOvbgRvqFdAKQ9a,"Whistle Podu (From The Greatest Of All Time)","Whistle Podu (From The Greatest Of All Time)","Thalapathy Vijay,Yuvan Shankar Raja,Madan Karky",2024-04-14,281268,61,false,31dpye3ymnghifxjngxds6ih3oku,2024-05-16T16:31:31Z,"tamil dance,tamil pop,kollywood,tamil hip hop","T-Series",0.646,0.882,1,-5.665,1,0.177,0.0413,0.0000434,0.215,0.538,162.041,4
spotify:track:0Tm5ER6IrGfmW0yZ5lkQli,"Rowdy Baby","Rowdy Baby (From 'Maari 2' Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Dhanush,Dhee",2018-11-28,281440,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:19:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood","VMS Music Records And Publishing Sdn Bhd",0.67,0.702,10,-8.192,0,0.2,0.284,0.00295,0.16,0.584,176.991,3
spotify:track:3eVkn2lYFVq8vZNDR0gf1Z,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2005-12-15,382066,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:20:42Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.72,0.533,6,-6.43,1,0.0407,0.301,0.0000239,0.0773,0.75,80,4
spotify:track:0J4aNOziXZL7uuDmCVB6yV,"Vennira Iravugal","Peasu (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-12-16,283360,34,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:19:04Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ishtar Music Pvt. Ltd.",0.697,0.643,3,-6.394,1,0.0296,0.662,0.0000622,0.0734,0.349,89.998,4
spotify:track:3b6jCDqWdQPPeNh7xxnaxl,"Poi Solla","April Madhathil (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Sadhana Sargam",2002-11-10,302986,46,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:20:55Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood","Divo",0.72,0.696,5,-8.18,0,0.0341,0.00907,0.000145,0.186,0.635,125.004,4
spotify:track:5bevVJ1zMWutZ3rQulAp62,"Yaaro Ucchikilai Meley","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2016-12-31,177866,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:21:18Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Divo",0.646,0.756,8,-5.316,0,0.0445,0.0228,0.00645,0.14,0.502,179.998,4
spotify:track:0GsPq1bRLjXG82ya1hJWiT,"Dope Track","Pyaar Prema Kaadhal (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2019-07-15,250684,0,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:21:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Divo TV Private Limited",0.533,0.711,0,-5.058,0,0.0537,0.301,0.00001,0.161,0.474,79.997,4
spotify:track:2R1R0N5CC2VMinXync9CgA,"Adadada Arrambame","Arrambam (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Shankar Mahadevan",2013-09-23,227000,52,false,31dpye3ymnghifxjngxds6ih3oku,2021-02-23T17:22:47Z,"tamil pop,kollywood,tamil dance,tamil hip hop,marathi pop,bollywood,devotional,bhajan,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.648,0.749,5,-7.734,0,0.191,0.0175,0.0000143,0.0413,0.682,150.027,4
