Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wdzLe2Gsx1RGqbvYZHASz,"i","i","Kendrick Lamar",2014-09-23,231933,70,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T18:59:10Z,"hip hop,west coast hip hop","Aftermath",0.755,0.884,10,-5.296,0,0.0638,0.0208,0.00000297,0.248,0.897,121.927,4
spotify:track:3iSqLuvOVfkfvAE06YB9JH,"Kinda Like","A Temporary Madness","Daniel Whittle",2012-06-05,238000,0,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:03:45Z,"","Daniel Whittle",0.539,0.654,11,-3.656,0,0.0285,0.771,0,0.148,0.3,124.005,4
spotify:track:52INmBPUsLUQ6to3WnGWUm,"You","You","Armaan Malik",2022-01-07,194477,49,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:04:18Z,"bollywood,hindi pop,kannada pop,tollywood,telugu pop","Arista Records",0.463,0.458,9,-6.705,1,0.0422,0.776,0.0000547,0.544,0.593,110.052,4
spotify:track:5cIZoKmBiFgjabaBG0D9fO,"and","i think you think too much of me","EDEN",2016-08-19,133359,43,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:04:32Z,"","MCMXCV (EDEN)",0.329,0.266,0,-13.297,1,0.0346,0.958,0.111,0.528,0.08,111.472,4
spotify:track:5Td7DqX0dPuFMo1aSzE8DW,"I Wanted to Tell You","I Wanted to Tell You","Heroe",2020-09-20,194740,13,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:04:48Z,"lo-fi indie","Loophole Records",0.287,0.147,3,-16.437,0,0.0421,0.826,0,0.119,0.077,87.535,4
spotify:track:52INmBPUsLUQ6to3WnGWUm,"You","You","Armaan Malik",2022-01-07,194477,49,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:04:59Z,"bollywood,hindi pop,kannada pop,tollywood,telugu pop","Arista Records",0.463,0.458,9,-6.705,1,0.0422,0.776,0.0000547,0.544,0.593,110.052,4
spotify:track:6mG8khkAtHrdERqqEReZlo,"Might Not","Music To Smoke To","Belly,The Weeknd",2019-12-06,224213,0,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:05:25Z,"","UME - Global Clearing House",0.793,0.563,1,-4.836,1,0.0788,0.318,0,0.13,0.32,134.009,4
spotify:track:2LTlO3NuNVN70lp2ZbVswF,"FEEL.","DAMN.","Kendrick Lamar",2017-04-14,214826,68,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:06:00Z,"hip hop,west coast hip hop","Aftermath",0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,4
spotify:track:2yNloO1GtEDm0SuDxIxVtE,"The Same","Modern Love (Mumbai) [Original Series Soundtrack]","Neel Adhikari,Karsh Kale,Kashishi",2022-05-12,242086,12,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:06:16Z,"indian indie,hindi indie,hindi hip hop,desi hip hop","Sony Music / Amazon Sellers Services Pvt. Ltd.",0.737,0.388,6,-13.275,1,0.0349,0.635,0.000114,0.101,0.31,115.005,4
spotify:track:5cIZoKmBiFgjabaBG0D9fO,"and","i think you think too much of me","EDEN",2016-08-19,133359,43,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:06:27Z,"","MCMXCV (EDEN)",0.329,0.266,0,-13.297,1,0.0346,0.958,0.111,0.528,0.08,111.472,4
spotify:track:6dJKh3LpoGH7B713maZ12M,"That is ok","Purple Heart","ProdiG",2021-06-05,194750,32,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:06:50Z,"chinese hip hop,cantopop","Mystery Music",0.718,0.701,9,-4.371,0,0.0915,0.341,0,0.122,0.429,160.021,4
spotify:track:1g5AwXgekJ2ToKHw0Nw2p5,"But","Songs About You","K. Cero",2017-08-17,219250,11,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:07:11Z,"","unsigned",0.875,0.377,10,-11.703,0,0.326,0.666,0,0.192,0.254,97.087,4
spotify:track:19HkPz7Lniq0085HRTTO53,"I Thought","I Thought","KYLE",2015-07-16,254693,15,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:07:33Z,"","Independent",0.781,0.376,0,-10.349,1,0.0469,0.394,0,0.135,0.175,97.97,4
spotify:track:01YosYQ657ua9CVlXpnQDg,"You Should Know","You Should Know EP","Samuel Larsen",2016-10-14,216331,21,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:07:56Z,"","Samuel Larsen",0.695,0.427,7,-7.298,1,0.16,0.366,0,0.162,0.616,90.094,4
spotify:track:0XQuWhRG7qD7OYHKsgt0BN,"If","If","Davido",2017-02-17,237714,57,false,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:08:06Z,"afrobeats,afrobeat,afropop,afropiano,azonto,amapiano,hiplife,afroswing,afro r&b","Sony Music Entertainment International Limited",0.951,0.661,7,-2.678,0,0.0612,0.397,0,0.0686,0.926,104.997,4
spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,"You","You","Regard,Troye Sivan,Tate McRae",2021-04-16,233386,72,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:08:33Z,"","Ministry of Sound Recordings",0.691,0.695,0,-5.6,1,0.0367,0.0592,0,0.0647,0.514,106.064,4
spotify:track:3pXF1nA74528Edde4of9CC,"Don't","T R A P S O U L","Bryson Tiller",2015-10-02,198293,85,true,23pjge5pjtm3k6xqpin04agmi,2022-06-29T19:08:56Z,"trap soul,r&b","TrapSoul/RCA Records",0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,4
