Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7heMX7gyHP0mhTlNgd7Lxd,"The Humma Song","OK Jaanu (Original Motion Picture Soundtrack)","A.R. Rahman,Badshah,Tanishk Bagchi,Shashaa Tirupati,Jubin Nautiyal",2017-01-04,179657,64,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T10:24:16Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,desi hip hop,hindi hip hop,desi pop,gujarati garba,bhajan,devotional","Sony Music Entertainment India Pvt. Ltd.",0.721,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,5
spotify:track:1n5gnI3Wue9WBpYFOIQNh1,"Mundhinam","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj,Naresh Iyer,Prashanthini",2008-10-08,341386,69,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T10:36:04Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.474,0.548,11,-8.614,1,0.331,0.237,0,0.0791,0.676,193.671,4
spotify:track:2DnfC8ghXPQgn1SKPCCL6S,"Mun Andhi","7 Aum Arivu (Original Motion Picture Soundtrack)","Harris Jayaraj,Karthik,Megha",2011-09-22,374760,62,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T10:42:11Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.747,0.532,4,-8.897,1,0.0365,0.286,0.0016,0.103,0.634,136.962,4
spotify:track:0T6z2mf5tb3kv208JXgPj9,"Nangaai","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj,Richard,Rahul Nambiar,Naveen Madhav",2010-11-11,276653,57,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T11:40:55Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.928,0.661,2,-7.341,1,0.0464,0.165,0.00104,0.338,0.584,129.029,4
spotify:track:6dOmP7QmrdpsiEA8omsOEt,"Thee Illai","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj,Naresh Iyer,Mukesh,Gopal Rao,Mahathi,Ranina Reddy",2010-11-11,327066,61,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T11:46:14Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,ghazal","Sony Music Entertainment India Pvt. Ltd.",0.69,0.53,9,-8.95,0,0.0327,0.412,0.00000497,0.116,0.307,95.971,4
spotify:track:6VP7HEaqHVFFW0ASZUkwMn,"Neethanae (From Mersal)","Neethanae (From Mersal)","A.R. Rahman,Shreya Ghoshal",2017-08-17,268455,58,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T11:56:17Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.57,0.442,2,-9.656,0,0.043,0.716,0.000788,0.0922,0.53,73.963,4
spotify:track:1zB4vmk8tFRmM9UULNzbLB,"Thunder","Evolve","Imagine Dragons",2017-06-23,187146,87,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T13:59:00Z,"","Kid Ina Korner / Interscope",0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
spotify:track:2uqXfUERVBLa1heEoUTBlO,"Thuli Thuli","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Haricharan,Tanvi Shah",2010-11-22,283346,65,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T15:39:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop","Think Music (India)",0.709,0.528,7,-7.429,0,0.0309,0.256,0.00189,0.112,0.649,91.999,4
spotify:track:1vzxYeTJ9dTtyJXkNWVJDZ,"En Kadhal Solla","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah",2010-11-22,293893,64,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T15:40:08Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4
spotify:track:3c1tJAYgROZEdqRfm7Wsny,"Yedho Ondru Ennai","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-22,213520,59,false,3155s6pn5xsulgsdviduzsd5n33a,2019-10-06T15:40:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.858,0.447,10,-7.917,1,0.0343,0.67,0.0000919,0.0738,0.256,119.98,4
