Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2NkkNBedx9WKshwRrWIZdb,"RED HOT (College Session)","RED HOT (College Session)","Addy & C2",2022-04-05,169262,0,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:11:36Z,"","Addy & C2",0.743,0.679,7,-9.199,0,0.0971,0.577,0.568,0.0987,0.154,100.086,4
spotify:track:0ptN2ySNA5XIuOOPFYasQL,"fairytale (slowed - house remix)","fairytale (slowed - house remix)","slō,twilight,Tazzy",2022-04-29,174366,41,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:11:51Z,"hypertechno,hardstyle,nightcore","Afterpeak Music Group",0.544,0.468,10,-9.179,0,0.0476,0.0205,0.912,0.088,0.265,167.799,4
spotify:track:09mEdoA6zrmBPgTEN5qXmN,"Call Out My Name","My Dear Melancholy","The Weeknd",2018-03-30,228373,86,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:12:15Z,"","Universal Republic Records",0.461,0.593,1,-4.954,1,0.0356,0.165,0,0.307,0.174,134.165,3
spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,80,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:12:38Z,"","Universal Republic Records",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
spotify:track:2xy57NLEmzuQQeBRORdaOq,"Kosandra - Remix","Kosandra","Maikkis",2020-04-09,178561,0,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:14:14Z,"","Disco Plex Music",0.707,0.921,7,-3.323,1,0.0738,0.135,0,0.0371,0.547,99.994,4
spotify:track:2HCMpBDHEAFNcQYDQoDgXo,"Paris","Une seule vie (Collector)","Willy William,Cris Cab",2016-09-16,195386,43,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:14:20Z,"","Scorpio Music",0.756,0.79,8,-4.978,1,0.0374,0.0307,0.000157,0.146,0.234,102.018,4
spotify:track:32Mh7kOCWmNTZgre0cGvCV,"Hislerim","Hislerim","Serhat Durmus,Zerrin",2018-08-10,214204,15,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:14:32Z,"","Under exclusive license to Amuseio AB",0.324,0.526,1,-8.543,0,0.099,0.327,0.00206,0.344,0.039,81.027,4
spotify:track:1rBXCmKIMcq1bRIsXpq2Qk,"Moved On","Moved On","SENSE",2020-02-07,129778,48,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:14:59Z,"slap house,hypertechno","BLACK&WHITE",0.714,0.817,10,-4.621,0,0.0433,0.0866,0.00435,0.321,0.123,126.026,4
spotify:track:6osKPJp6kQwZcgUqBteJFN,"Safari","Safari","Serena",2017-11-28,187408,63,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:15:05Z,"","Roton Music",0.799,0.689,5,-6.793,0,0.053,0.445,0.0122,0.18,0.477,103.019,4
spotify:track:1OjOxH2CO02gdfxyXYuuaG,"İzmir Marşı","İzmir Marşı","CVRTOON",2019-06-17,259004,52,false,31lti3p7bczl25glbpd5vkbkvzdm,2022-09-02T21:15:12Z,"","CVRTOON, under exclusive license to Amuseio AB",0.493,0.608,4,-9.437,1,0.0318,0.00141,0.939,0.0668,0.139,134.965,4
