Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FdjVvXmBLOL3sqZh47Blv,"Sandai Kozhi","Aayitha Ezhutu (Original Motion Picture Soundtrack)","A.R. Rahman,Madhushree",2004-02-27,294160,52,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:24Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.622,0.358,7,-8.406,0,0.0837,0.128,0,0.0791,0.334,175.907,4
spotify:track:3FWiMqn31M0m7MAptIONXz,"Vaa Vaa Penne - From Uriyadi 2","Vaa Vaa Penne (From Uriyadi 2)","Govind Vasantha,Sid Sriram,Priyanka NK",2019-03-04,294864,49,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:25Z,"tamil pop,mollywood,kollywood,malayalam pop,malayalam hip hop,tollywood,telugu pop,tamil indie,devotional","Sony Music Entertainment India Pvt. Ltd.",0.513,0.534,4,-8.538,0,0.039,0.647,0,0.153,0.245,149.94,3
spotify:track:6j8i9SWR1MG6XpwqxFhmJy,"Vaa Vaa En Devadhai","Abhiyum Naanum (Original Motion Picture Soundtrack)","Vidyasagar,Madhu Balakrishnan",2008-01-20,289920,51,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:26Z,"malayalam pop,mollywood,tamil dance,kollywood,tamil pop,devotional","Think Music (India)",0.721,0.683,11,-6.577,0,0.0252,0.238,0.00000808,0.092,0.901,112.991,4
spotify:track:0WsrXGGgS019oXTosbXxNQ,"Va Va Nilava","Naan Mahaan Alla (Original Motion Picture Soundtrack)","Haricharan",2010-07-16,283764,51,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:28Z,"mollywood,tamil pop,tollywood,telugu pop,malayalam pop,kollywood,tamil dance,kannada pop","Think Music",0.785,0.595,10,-7.047,1,0.0878,0.339,0.00442,0.116,0.798,84.947,4
spotify:track:7nRFeG20drpHn9CqPuRVJ6,"Vizhigalil Vizhigalil","Thiruvilayadal Arambam","Harish Raghavendra",2006-09-30,286253,57,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:07:45Z,"tamil pop,kollywood,telugu pop,tollywood","Saregama",0.731,0.664,11,-9.817,0,0.0836,0.128,0,0.0608,0.724,164.108,4
spotify:track:05FlPO0eMYMfy9PAb1rVIE,"Azhage Bhramanidam","Devathayai Kanden","Deva,Harish Raghavendra,Ganga Sitharasu",2005,270835,0,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:07:49Z,"tamil pop,tamil dance,kollywood,telugu pop,tollywood","Think Tapes",0.618,0.792,0,-6.209,1,0.116,0.304,0,0.177,0.721,149.897,3
spotify:track:668ZUFIUNRyIqOORiCfFY3,"Kan Irandil","Uthama Puthiran (Original Motion Picture Soundtrack)","Vijay Antony,Naresh Iyer",2010-10-05,271000,62,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:07:54Z,"tamil dance,tamil pop,kollywood,tamil hip hop,tollywood,telugu pop","Think Music",0.595,0.607,0,-7.291,1,0.0676,0.587,0.00000634,0.313,0.478,157.417,3
spotify:track:78xl1agm6jjt1u7YvgWtLo,"Anbarey (From Gulu Gulu)","Anbarey (From Gulu Gulu)","Santhosh Narayanan,Dhee",2022-07-23,224400,47,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:30Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.698,0.468,0,-6.631,0,0.095,0.903,0,0.182,0.449,129.979,4
spotify:track:0OMBNterYQM7enX1YptNUb,"Ore Nyabagam","Minnalae","Devan Ekambaram",2001-02-14,113760,48,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:33Z,"tamil pop,tollywood,telugu pop,kollywood,tamil dance","Saregama",0.66,0.152,10,-14.947,1,0.0342,0.801,0,0.107,0.69,152.823,1
spotify:track:7BsQNB20nHHZY9pNcrrrsI,"Azhagooril","Thirumalai (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam,Sujatha,Arivumathi",2003-04-13,272826,62,false,31yp4ocozy67zlfxuca6zq6vwaza,2023-01-18T07:05:36Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,malayalam pop,mollywood,tamil dance","New Music",0.473,0.659,4,-9.292,1,0.0477,0.0905,0.0000398,0.168,0.368,94.817,4
