Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0jCZ3xX2xZTWMUnQMk1Vig,"Indru Netru Naalai","Indru Netru Naalai (Original Motion Picture Soundtrack)","Hiphop Tamizha,Shankar Mahadevan,Aalaap Raju",2015-05-07,185216,62,false,314zpykvgng24gphakvcbh4l2vy4,2022-02-04T07:36:41Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,marathi pop,bollywood,devotional,bhajan,desi,hindi pop,telugu pop,tollywood","Think Music",0.536,0.591,0,-5.377,0,0.0292,0.463,0,0.133,0.347,128.056,4
spotify:track:6sPW145Y3LSXd4p1LjBOcS,"Kanave Kanave","David","Anirudh Ravichander",2013-01-10,284784,68,false,314zpykvgng24gphakvcbh4l2vy4,2022-02-12T11:51:34Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","T-Series",0.47,0.513,9,-10.076,0,0.0294,0.373,0.0000065,0.123,0.477,95.015,1
spotify:track:2gRJ3rj8GwCsl1a5tUo9dp,"Arjunar Villu","Ghilli","Vidyasagar,Sukhwinder Singh",2004-03-17,267160,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-01T17:51:22Z,"malayalam pop,mollywood,tamil dance,kollywood,tamil pop,bollywood,desi,hindi pop","Ayngaran",0.76,0.948,2,-3.39,0,0.0936,0.181,0,0.0962,0.537,99.971,4
spotify:track:2lTUbGvtAl6DErvtujps6I,"Kaalam Yen Kadhali","24 (Tamil) (Original Motion Picture Soundtrack)","Benny Dayal",2016-04-12,263706,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-01T18:02:30Z,"bollywood,desi,hindi pop","Eros Now Music",0.801,0.799,11,-6.786,0,0.06,0.00567,0.00327,0.0818,0.582,129.998,4
spotify:track:2PPYZHvvu02e1pSdE1FfvD,"Anbe En Anbe","Dhaam Dhoom (Original Motion Picture Soundtrack)","Harris Jayaraj,Harish Raghavendra",2008-08-29,304400,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-06T16:28:54Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood","Ayngaran",0.773,0.419,11,-8.756,0,0.0647,0.309,0.0000562,0.281,0.578,121.982,4
spotify:track:3ofnkr6j3FLAHc2eTh9YnQ,"Karuppu Vellai","Vikram Vedha (Original Motion Picture Soundtrack)","Sivam,Sam C.S.",2017-06-19,195818,56,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-06T16:30:01Z,"telugu pop,tollywood,tamil hip hop,tamil pop,kollywood,malayalam hip hop,malayalam pop","Think Music",0.425,0.595,2,-8.296,1,0.0533,0.437,0.000826,0.0958,0.0892,109.91,4
spotify:track:13wIQbwSuQ4YFvDvtQgSVc,"Vaarayo Vaarayo","Aadhavan (Original Motion Picture Soundtrack)","Harris Jayaraj,Chinmayi,Unnikrishnan,Mega",2009-08-09,316680,73,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-07T15:54:39Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Think Music (India)",0.718,0.361,5,-9.74,0,0.0298,0.565,0.119,0.151,0.446,103,4
spotify:track:4oMzHksK2ePrSwCgN8pjd5,"Antartica","Thuppakki (Original Motion Picture Soundtrack)","Vijay Prakash,Krish,(Rap) Rajeev",2012-10-10,302053,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-08T17:27:04Z,"kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood,tamil hip hop","Gemini Audio",0.847,0.547,0,-6.094,1,0.0393,0.0235,0.0000985,0.0651,0.737,116.031,4
spotify:track:2AIxrjoVCWUPe0n1vTDJhv,"Google Google","Thuppakki (Original Motion Picture Soundtrack)","Vijay,Andrea Jeremiah,Krishna Iyer,(Rap) Joe",2012-10-10,369475,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-08T17:37:07Z,"tamil dance,tamil pop,kollywood,haryanvi pop","Gemini Audio",0.925,0.653,5,-6.887,0,0.0506,0.0112,0.00515,0.112,0.79,128.988,4
spotify:track:0L4WkSYDVsrNHywtNu42n5,"Vennilave","Thuppakki (Original Motion Picture Soundtrack)","Hariharan,Bombay Jayashri",2012-10-10,292963,0,false,314zpykvgng24gphakvcbh4l2vy4,2022-04-08T17:38:27Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop","Gemini Audio",0.878,0.545,0,-5.621,1,0.0296,0.135,0.0000103,0.0669,0.699,104.001,4
