Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7acN9HaStRBkP2UTOOpQ9q,"Paravaiye Engu Irukkirai","Tamil M.A.","Ilaiyaraaja",2009-11-21,369360,52,false,oj0or1ojp48fb7prt2wgdaosy,2022-07-22T13:30:04Z,"tamil pop,kollywood","T-Series",0.829,0.622,3,-10.679,0,0.0512,0.424,0.000538,0.209,0.757,129.969,4
spotify:track:3eeUvZTgP5uJfOMqI3sUVq,"Akkam Pakkam","Kireedam","Sadhana Sargam",2009-10-14,316000,63,false,oj0or1ojp48fb7prt2wgdaosy,2022-07-18T17:17:18Z,"tamil pop,bollywood","T-Series",0.773,0.628,11,-6.737,0,0.0425,0.108,0.00119,0.246,0.588,119.96,4
spotify:track:3tvvJopWUUxG3qvUgW8Vc5,"Manja Sela","Thoranai (Original Motion Picture Soundtrack)","Mani Sharma,Tippu,Saindhavi",2009-04-19,260306,53,false,oj0or1ojp48fb7prt2wgdaosy,2022-07-18T13:14:15Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,kannada pop,sandalwood,devotional,bhajan","Think Music (India)",0.721,0.906,5,-4.544,0,0.177,0.227,0.000247,0.0677,0.96,173.985,4
spotify:track:1gjTosi40WE5dcmKQvFdFI,"Raachisi","Raachisi","Teejay,Tha Mystro",2020-11-13,280059,0,false,critical_masses,2022-02-09T05:39:55Z,"tamil indie,tamil hip hop,tamil pop,kollywood,tamil dance","TeeJay",0.667,0.806,9,-2.917,0,0.053,0.339,0,0.144,0.287,119.909,4
spotify:track:4Qo48d2lrzBgcWk1DVsmap,"Enna Oru Enna Oru","Pattatthu Yaanai (Original Motion Picture Soundtrack)","Thaman S,Karthik",2013-06-23,270186,55,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-04T05:04:26Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.756,0.675,0,-6.742,0,0.0363,0.779,0.00113,0.187,0.85,139.997,4
spotify:track:4kkpYlxWppgpJ15WE17ine,"Kaadhal Malaiye","Jay Jay (Original Motion Picture Soundtrack)","Srinivas",2003-10-02,271955,0,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-09T13:30:28Z,"tamil pop,tollywood,kollywood,malayalam pop,telugu pop","Ayngaran",0.507,0.73,9,-11.323,0,0.0627,0.0259,0,0.164,0.539,167.883,4
spotify:track:1Ft2NPSOqCNkQwCMHX25ul,"Unnai Naan","Jay Jay (Original Motion Picture Soundtrack)","Hariharan",2003-10-02,296931,0,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-09T13:30:54Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop","Ayngaran",0.633,0.575,2,-11.603,0,0.0603,0.0515,0.0000423,0.0769,0.693,156.002,3
spotify:track:1MTqeIucWQh0Bf4hatQWxt,"Po Po Po - Soundtrack Version","Manam Kothi Paravai (Soundtrack Version)","Javed Ali",2012-01-01,285133,49,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-09T13:41:30Z,"sufi,bollywood,hindi pop,qawwali,desi,desi pop","Universal Music India Pvt Ltd.",0.676,0.52,7,-5.539,0,0.0403,0.524,0.0000248,0.0984,0.631,90.057,4
spotify:track:6GBz0xUx5jMgzBobRVCXP8,"All Thotta","Youth (Original Motion Picture Soundtrack)","Mani Sharma,Shankar Mahadevan,Kabilan",2002-07-19,292205,60,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-27T04:05:35Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,marathi pop,bollywood,devotional,bhajan,desi,hindi pop,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.768,0.86,10,-9.944,0,0.235,0.211,0.00000141,0.0925,0.846,77.022,4
spotify:track:3h0W7VWNFZsll7EHTAQWlh,"Minnalgal Koothadum","Polladhavan (Original Motion Picture Soundtrack)","Karthik,Bombay Jeyashree",2021-06-15,409547,0,false,oj0or1ojp48fb7prt2wgdaosy,2022-08-27T04:05:40Z,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood","Hariharan Music",0.729,0.448,7,-9.929,0,0.0391,0.0821,0.00071,0.0749,0.593,110.053,4
