Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0XxJSKcqLvRIPzNGvSvdmY,"Ullam Uruguthaiyya","Muruga","T. M. Soundararajan",2011-01-01,364693,36,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.596,0.487,2,-7.042,1,0.0308,0.657,0.000937,0.0773,0.761,87.62,3
spotify:track:29cngXdFZxEfSvCDmYzIR5,"Karpanai Endralum","Muruga","T. M. Soundararajan",2011-01-01,177253,39,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.575,0.582,4,-6.574,0,0.0347,0.728,0.0000673,0.233,0.819,98.437,4
spotify:track:4gsuOlaWsGMIAGbEWDJWEW,"Enakkum Idam (Revival)","Revival Mannanalum Tamil Devotional by T.M. Soundararajan","T. M. Soundararajan",1978-12-01,289840,32,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.51,0.577,7,-8.974,0,0.0541,0.625,0.00575,0.118,0.679,138.243,4
spotify:track:0LHX7XzOI4aNSVXjTPBFbY,"Muruganai Koopittu","Muruga","T. M. Soundararajan",2011-01-01,194440,32,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.62,0.526,11,-7.907,1,0.0399,0.66,0.0000173,0.102,0.891,104.617,4
spotify:track:6pM1NvAze7bg5chzNjJJE5,"Kandhan Thiruneeraninthal","Muruga Nee Varavendum","T. M. Soundararajan",1982-12-01,178613,30,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.606,0.501,1,-10.701,0,0.0442,0.905,0.0000439,0.144,0.956,96.037,4
spotify:track:36SG3bRn29uv40PIH4WqJ5,"Mannaanaalim Thiruchenthur","Mannanalum Thiruchenduril","T. M. Soundararajan",2019-06-24,228040,0,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","VMS Music Records and Publishing Sdn Bhd",0.716,0.53,7,-6.201,0,0.045,0.633,0.0000853,0.0674,0.713,101.529,4
spotify:track:5teBFjunYjWJvzYrKlRHIE,"Azhagendra Sollukku","Muruga","T. M. Soundararajan",2011-01-01,343973,35,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.334,0.594,9,-8.111,0,0.0529,0.749,0.00000393,0.0733,0.919,185.257,3
spotify:track:6iDBtXtbqLDoh3gycDxKCV,"Senthoor Sellum","Devotional Hits of T M Soundararajan","T. M. Soundararajan",1998-05-01,287086,18,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.406,0.507,2,-7.751,1,0.0295,0.746,0.00000336,0.212,0.816,140.599,4
spotify:track:33nh1UKymnOZGJcSaXix7F,"Aadharam Nin Thiru","Muruga Endrazhaikkava","T. M. Soundararajan",1998-01-20,195546,17,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.519,0.554,4,-11.601,0,0.0589,0.801,0.00035,0.244,0.932,91.259,4
spotify:track:5WCV8qMxJRjHg6r8XJBkGM,"Oraaru Mugamum","Muruga Endrazhaikkava","T. M. Soundararajan",1998-01-20,190853,19,false,314yvrnjretfm5tb4niufkj4u7wu,2022-02-12T15:33:07Z,"devotional,tamil pop,murga","Saregama",0.619,0.439,6,-11.689,1,0.0414,0.87,0,0.389,0.909,101.905,4
