Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7isB5O0wJHijPNIyMFZujH,"Yengae Sellum","Sethu (Original Motion Picture Soundtrack)","Ilaiyaraaja",1999,306146,41,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:24:29Z,"tamil pop,kollywood","Think Music (India)",0.414,0.202,11,-13.25,1,0.033,0.786,0.00000127,0.162,0.21,82.633,4
spotify:track:6K3fnk9rMPsl7YDIOLocgT,"Vaarthai Thavarivittai","Sethu (Original Motion Picture Soundtrack)","Ilaiyaraaja",1999,183226,39,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:24:33Z,"tamil pop,kollywood","Think Music (India)",0.731,0.225,9,-10.104,1,0.0294,0.646,0.00000925,0.0712,0.174,110.033,4
spotify:track:4xspsjZZOI3rKgix2vTADv,"Moongil Kaadugalae (From Samurai)","Hariharan's Melodies","Hariharan,Tippu",2013-07-08,379637,52,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:25Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,tamil dance,kannada pop,tollywood,sandalwood","Five Star Audio",0.461,0.612,7,-9.549,0,0.162,0.285,0,0.0794,0.596,169.972,4
spotify:track:26WfomVOHXZ5CZaQAaZJm5,"Mun Paniya (From Nandhaa)","S.P.B and Shankar Mahadevan Hits","S. P. Balasubrahmanyam,Malgudi Subha",2013-06-08,340244,54,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:28Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","Five Star Audio",0.668,0.281,5,-16.017,0,0.0517,0.378,0,0.11,0.487,119.95,4
spotify:track:51stxfverhxMZ7Vwst6mFF,"Kanaa Kaanum (From 7/G Rainbow Colony)","Hits of Harish Ragavendra","Harish Raghavendra,Madhumathi",2013-07-03,329926,28,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:31Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.777,0.635,10,-8.99,0,0.0783,0.282,0.00000241,0.111,0.361,100,4
spotify:track:40vmEMxtpxrwKuFaiwYULZ,"Devathaiya Kandein (From Kadhal Kondaen)","Hits of Harish Ragavendra","Harish Raghavendra",2013-07-03,310612,60,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:33Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.879,0.434,7,-10.778,0,0.0385,0.113,0.0000246,0.105,0.794,110.018,4
spotify:track:28dEdqjRb3QfZsTmwy0BqH,"Iayyayo","Paruthiveeran (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Manikka Vinayagam,Krishnaraj,Shreya Ghoshal",2007-02-23,274786,0,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi,kannada pop,marathi pop","Ayngaran",0.762,0.457,10,-6.316,0,0.034,0.521,0,0.0868,0.577,89.999,4
spotify:track:5EIpzyd2nuFVy7KUFCkwwy,"Oh Baby","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Naveen,Bhargavi Pillai,Haricharan,Andrea Jeremiah",2008-10-17,337933,53,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:47Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,bollywood,mollywood,malayalam pop,kannada pop","Think Music (India)",0.799,0.677,10,-9.779,0,0.043,0.00958,0.000477,0.0993,0.559,99.98,4
spotify:track:6ghhnw1yxO8uev7BxdWjbN,"Elangathu (From Pithamagan)","Shreya Ghoshal - Sing for You","Shreya Ghoshal,Sriram Parthasarathy",2013-06-15,369773,54,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:50Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,tamil pop,kollywood","Five Star Audio",0.694,0.479,0,-8.918,1,0.0307,0.36,0,0.195,0.735,143.974,4
spotify:track:51GrS6yeLRDgKKvPWz2pPo,"Maalai Yen Vedhanai (From Sethu)","My Playlist: Ilaiyaraaja","Ilaiyaraaja,Unnikrishnan,Arunmozhi",2014-06-06,301906,27,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:54Z,"tamil pop,kollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.592,0.421,2,-14.359,1,0.0496,0.166,0.00000577,0.0384,0.568,171.953,4
spotify:track:3bEjPeHMjDdpqAhi0KVl4x,"Oliyile Therivadhu","Azhagi (Original Motion Picture Soundtrack)","Bhavatharini,Karthik",2001,303853,55,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:26:57Z,"tamil pop,kollywood,telugu pop,tollywood,kannada pop,malayalam pop,tamil dance,mollywood","Roja/Mass Audio",0.591,0.464,10,-12.954,0,0.053,0.22,0.00185,0.12,0.521,83.723,4
spotify:track:1HgXDQ3RXQ6Jv9MiejswlS,"Paattu Solli","Azhagi (Original Motion Picture Soundtrack)","Sadhana Sargam",2001,301066,47,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:00Z,"tamil pop,bollywood","Roja/Mass Audio",0.828,0.494,0,-9.829,0,0.0366,0.546,0.0000753,0.1,0.756,125.835,3
spotify:track:45EhYtBhAZQHghxLH4UmQd,"Enakenna Yerkanavey (From Parthen Rasithen)","Mega Hits of Unnikrishnan","Unnikrishnan,Harini",2013-05-30,325564,48,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:14Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.698,0.587,5,-6.567,1,0.035,0.555,0.0000951,0.45,0.586,90.014,4
spotify:track:1iSYeGsDyEG4HFtNUX1I6L,"Ennavale Ennavale","Ninaithen Vanthai (Original Motion Picture Soundtrack)","Mano and Anuradha Sriram",1998-11-26,298440,49,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:21Z,"tamil pop","Star Music",0.578,0.687,4,-10.27,0,0.138,0.0771,0,0.0461,0.678,110.623,4
spotify:track:3Z9b4rZakWkg5rOv6Xl6D6,"Parthen Rasithen","Parthen Rasithen (Original Motion Picture Soundtrack)","Yugendran,Reshmi",2013-04-09,316604,45,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:23Z,"tamil pop,tamil dance,kollywood","Five Star Audio",0.786,0.724,5,-5.873,0,0.0517,0.162,0.00000959,0.0306,0.894,93.062,4
spotify:track:0EoOdebZilCtpSSLA9JsO3,"Adhikalaiyil Shevalai","Nee Varuvaai Ena (Original Motion Picture Soundtrack)","Unnikrishnan,K. S. Chithra",1999-08-14,283680,40,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:35Z,"tamil pop,kollywood,telugu pop,malayalam pop,kannada pop,mollywood,tollywood,devotional,sandalwood","Star Music",0.696,0.528,5,-12.158,1,0.0852,0.263,0.00000189,0.25,0.844,172.151,4
spotify:track:32VYgspXNXj0hPftALttUf,"Meghamai Vanthu Pogiren - Language: Tamil; Film: Thullatha Manamum Thullum; Film Artist 1: Vijay; Film Artist 2: Simran","Thullatha Manamum Thullum & Nee Varuvai Ena","Rajesh",1999-03-28,261359,57,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:52Z,"telugu pop,kannada pop,tollywood,sandalwood","Star Music",0.513,0.813,2,-3.724,1,0.0733,0.209,0,0.0636,0.743,86.817,4
spotify:track:0C7UOcbclGDRYJAi1YR3rz,"Thodu Thoduveneve - Language: Tamil; Film: Thullatha Manamum Thullum; Film Artist 1: Vijay; Film Artist 2: Simran","Thullatha Manamum Thullum & Nee Varuvai Ena","Hariharan,K. S. Chithra",1999-03-28,283226,51,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:55Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,malayalam pop,kannada pop,mollywood,tollywood,sandalwood","Star Music",0.44,0.761,9,-2.427,0,0.037,0.712,0,0.116,0.68,84.566,4
spotify:track:6CBUPK5N4sca0Pyjaait7g,"Ennavo Ennavo","Priyamaanavale (Original Motion Picture Soundtrack)","S.A. Rajkumar,Hariharan,Mahalakshmi Iyer",2000-03-12,291360,59,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:56Z,"tamil pop,devotional,bhajan,ghazal,kollywood,telugu pop,bollywood,desi","Magnasound",0.668,0.539,9,-11.346,1,0.0875,0.0808,0.0000272,0.181,0.486,175.841,4
spotify:track:5x0UeByKiMr1xxMQW8yzM1,"Enakkoru Snehidhi","Priyamaanavale (Original Motion Picture Soundtrack)","S.A. Rajkumar,Hariharan,Mahalakshmi Iyer",2000-03-12,294640,56,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:27:59Z,"tamil pop,devotional,bhajan,ghazal,kollywood,telugu pop,bollywood,desi","Magnasound",0.695,0.691,4,-9.866,0,0.0935,0.234,0.0000112,0.0283,0.69,171.83,4
spotify:track:2N1BdYUYTAmtYKJMID7zu9,"Manam Virumbuthe (From Naerukku Naer)","Singers Special Harini","Harini",2013-06-12,358138,44,false,31asplgen7rz3lyg355boquljr4q,2023-01-28T18:28:35Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.756,0.739,11,-10.012,1,0.05,0.0882,0.0000287,0.0977,0.51,94.954,4
