Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Y5V1600JP7LQweixdDdhw,"Nilavupattu","Kannukul Nilavu (Original Motion Picture Soundtrack)","Hariharan",2013-03-30,361613,37,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:11:40Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop","Five Star Audio",0.755,0.441,9,-12.867,1,0.124,0.473,0.00000254,0.0756,0.593,147.937,4
spotify:track:1PuTR4IoxoU4xKgtwqCKV1,"Nila Kaaigiradhu(Female Version)","Indira","Harini",2014-08-01,205374,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:13:37Z,"tamil pop,kollywood,telugu pop,tollywood","Lahari Music",0.4,0.304,1,-15.257,1,0.0315,0.395,0.0000239,0.259,0.0746,184.084,4
spotify:track:49d0pOvKJxujKKyVziFEpl,"Vaa Vennila Unnaithane","Mella Thirandhadhu Kadhavu (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam,P. Susheela",1986-01-01,279253,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:13:43Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","Kosmik Music",0.646,0.633,5,-9.854,1,0.0544,0.85,0.0453,0.145,0.893,79.282,4
spotify:track:1nfzHDbYXHzgPoVGc8gJP2,"Nila Nee Vaanam","Pokkisham (Original Motion Picture Soundtrack)","Sabesh Murali,Vijay Yesudas,Chinmayi",2009-04-10,346000,52,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:13:54Z,"kollywood,tamil pop,malayalam pop,mollywood,tollywood,telugu pop,marathi pop,bollywood,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.753,0.574,9,-7.624,0,0.0317,0.158,0.0000656,0.207,0.703,136.019,4
spotify:track:5YxS72uhdbvJAnTWkxYtV4,"Vaan Nila Nila","Pattina Pravesam","S. P. Balasubrahmanyam",1977-12-31,348440,27,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:13:59Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","Saregama India Ltd",0.473,0.445,7,-12.577,0,0.0708,0.706,0,0.641,0.519,132.698,4
spotify:track:7MBpd31LfRWqSq4S6iXm0t,"Konjam Nilavu","Thiruda Thiruda (Original Motion Picture Soundtrack)","A.R. Rahman,Chandralekha Annupamaa,Suresh Peters",1993-03-12,348466,45,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:14:14Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,tamil dance,mollywood","Magnasound",0.762,0.441,5,-17.931,1,0.077,0.241,0.0173,0.326,0.556,104.063,4
spotify:track:6eL5GvPxvgtqBlQeWVH9hD,"Chithirai Nilavu","Vandicholai Chinnarasu (Original Motion Picture Soundtrack)","P. Jayachandran,Minmini",1994-01-01,287120,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:14:19Z,"malayalam pop,mollywood,tamil pop","Kosmik Music",0.542,0.366,0,-13.02,1,0.0516,0.441,0.00000162,0.0423,0.363,167.821,4
spotify:track:5XBcMGmys58BWw1qxt6eu9,"Kannukkul Nooru Nilava","Vedam Pudhithu","S. P. Balasubrahmanyam,K. S. Chithra",2014-08-01,264646,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:15:19Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,malayalam pop,mollywood","Lahari Music",0.64,0.455,5,-10.363,0,0.0602,0.911,0.00104,0.32,0.776,97.91,4
spotify:track:64Qz0HpRrnSqpOKUBEvQpD,"Nilave Mugam","Yejaman (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam,S. Janaki",1993,307426,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:15:29Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","Music Master",0.727,0.38,5,-10.851,0,0.0294,0.61,0,0.0737,0.607,108.054,4
spotify:track:4xZqoLPxeIUItAiF16H6Ve,"Nila Kaaigiradhu(Male Version)","Indira","Hariharan",2014-08-01,255007,0,false,9oizxocr63u1jpp6rtvvhu0q3,2021-08-05T22:15:35Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop","Lahari Music",0.497,0.21,2,-14.644,1,0.0306,0.491,0,0.156,0.193,94.941,4
