Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:35NhAtCJVzqRgBKiayD7I4,"Manjal Veyil","Vettaiyadu Vilayadu (Original Motion Picture Soundtrack)","Harris Jayaraj,Hariharan,Vijay,Nakul,Thamarai",2015-07-09,354037,49,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:29:35Z,"tamil pop,kollywood,tamil dance,bhajan,ghazal,devotional,telugu pop,haryanvi pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.901,0.535,0,-11.533,1,0.0603,0.0196,0.0000244,0.199,0.9,119.971,4
spotify:track:1VxCdnd46iCgHP5zXGCXPe,"Nira - From Takkar","Nira (From Takkar)","Sid Sriram,Gautham Vasudev Menon,Malvi Sundaresan,Nivas K Prasanna",2020-02-27,304772,66,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:30:06Z,"tollywood,telugu pop,tamil pop,kollywood","Think Music",0.674,0.767,1,-5.049,0,0.0469,0.139,0.00000139,0.208,0.56,88,4
spotify:track:2UbUqswNGUYofPyX65o9e6,"Ennadi Maayavi Nee (From VadaChennai)","VadaChennai (Original Motion Picture Soundtrack)","Santhosh Narayanan,Vivek,Sid Sriram",2018-07-28,251000,67,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:30:53Z,"tamil pop,kollywood,tamil hip hop,tamil dance,tollywood,telugu pop","Divo Tv Private Limited",0.553,0.231,0,-13.363,0,0.0311,0.824,0.00223,0.0972,0.276,119.839,3
spotify:track:18ONQnZsstfBATeq0yusPN,"Oru Naalaikkul","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Karthik,Rita Thyagarajan",2008-10-17,340066,61,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:31:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Think Music (India)",0.706,0.735,6,-7.564,1,0.0322,0.37,0.0165,0.107,0.827,119.969,4
spotify:track:48vEUc5MnUiqtrbclwVZPz,"Poongatrile (From Uyire)","Hits of A.R.Rahman Isai Saral","Unni Menon,Swarnalatha",2013-12-29,340874,55,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:32:02Z,"tamil pop,malayalam pop,kollywood,tamil dance","New Music",0.75,0.341,11,-13.368,0,0.0381,0.267,0,0.0951,0.602,121.999,4
spotify:track:1T4xuE9mA40rNH2YEdO7KL,"Enna Solla Pogirai - Slowed and Reverb","Enna Solla Pogirai - Slowed and Reverb","Harish Hwarkling,Shankar Mahadevan",2023-04-12,305313,31,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:33:29Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop","Saregama",0.519,0.737,4,-8.941,1,0.0629,0.627,0.00000537,0.296,0.285,78.997,4
spotify:track:1c745zDpcyiakJwNX6Vkm7,"Yedho Ondru","Lesa Lesa (Original Motion Picture Soundtrack)","Harish Raghavendra,Srilekha Parthasarathy,Franco Simon",2003-05-16,337006,61,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:34:38Z,"tamil pop,kollywood,telugu pop,tollywood,tamil dance,malayalam pop,mollywood","Think Tapes",0.715,0.541,9,-8.208,0,0.0352,0.16,0.00000135,0.0987,0.755,99.997,4
spotify:track:1JVfJe7LQSePY6EyF1fBUX,"Venmathiye","Minnalae","Tippu",2001-02-14,326960,61,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:36:06Z,"tamil dance,tamil pop,kannada pop,kollywood,telugu pop,tollywood,sandalwood","Saregama",0.837,0.351,11,-14.189,1,0.049,0.192,0.00000148,0.35,0.466,124.009,4
spotify:track:6R0FwF48PO2BrdZpLeWi42,"Nee Kavithaigala","Maragatha Naanayam (Original Motion Picture Soundtrack)","Dhibu Ninan Thomas,Pradeep Kumar",2017-01-19,276250,69,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:39:18Z,"tamil pop,kollywood","Think Music",0.58,0.541,4,-5.646,0,0.0271,0.451,0.00000264,0.121,0.413,129.968,3
spotify:track:3B4Wf3Fo11BXSuVPi1dtDO,"Oh Oh - The First Love of Tamizh","Thangamagan (Original Motion Picture Soundtrack)","Anirudh Ravichander,Dhanush,Nikhita Gandhi",2015-11-27,276705,60,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:41:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.594,0.587,4,-8.705,1,0.0268,0.413,0.00013,0.0904,0.448,85.002,4
spotify:track:5p7ujcrUXASCNwRaWNHR1C,"Without Me","Without Me","Halsey",2018-10-04,201660,11,true,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:43:02Z,"","Capitol Records",0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
spotify:track:5TzBiX6ACrnGCgcVbP0ZHd,"Priyathama Priyathama","Majili","Chinmayi",2019-03-08,245885,52,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:43:59Z,"tollywood,tamil pop,telugu pop,kollywood,marathi pop,bollywood,hindi pop","Aditya Music",0.71,0.529,0,-9.729,0,0.0391,0.743,0.00577,0.183,0.505,130.036,4
spotify:track:2VrNpMt23IX5ZfROWM7wAi,"Malai Mangum Neram","Rowthiram (Orignal Motion Picture Soundtrack)","Ranina Reddy",2011-07-20,313600,64,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:45:29Z,"tollywood,telugu pop,tamil pop,kollywood,tamil dance","Star Music",0.668,0.504,1,-10.225,0,0.0566,0.388,0.3,0.0761,0.533,86,4
spotify:track:0eFMbKCRw8KByXyWBw8WO7,"Still With You","Still With You","Jung Kook",2020-06-05,239905,81,false,31hhifawhlv4dbk24yhkuivzacwq,2024-09-16T16:49:28Z,"k-pop","BIGHIT MUSIC",0.529,0.469,1,-6.967,0,0.0358,0.0899,0.0000153,0.831,0.344,87.864,4
