Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5XI8QHHWAF1iEhKNnnOqct,"Kannuodu Kaanbadhalam","Jeans (Original Motion Picture Soundtrack)","Nithyasree,Vairamuthu",1998-06-27,309735,57,false,,2021-10-15T09:35:03Z,"tamil pop,kollywood,tamil dance","New Music",0.731,0.635,5,-9.898,0,0.044,0.249,0.0000795,0.0893,0.75,96.955,4
spotify:track:4zyyyX9QUeKkBjURK1xCn5,"Andha Arabi Kadaloram","Bombay","A.R. Rahman,Suresh Peters,Swarnalatha",1995-01-14,312839,58,false,,2021-10-15T09:35:03Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,tamil dance,mollywood","Music Masters Audio Video LLP",0.795,0.842,0,-5.208,1,0.166,0.0534,0.0044,0.0402,0.776,95.027,4
spotify:track:2E3pO72BvxtdE7FbvvJG8r,"Anjali Anjali","Duet","S. P. Balasubrahmanyam,K. S. Chithra",1994-05-20,486791,54,false,,2021-10-15T09:35:03Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,malayalam pop,mollywood","Music Master",0.435,0.374,2,-11.63,1,0.0466,0.73,0.0000252,0.0529,0.341,87.368,4
spotify:track:301uYgwDevsSCzCBW6t7JC,"Chinna Chinna Asai","Roja","Minmini",2014-08-01,293076,45,false,,2024-10-03T11:54:25Z,"tamil pop,malayalam pop","Lahari Music",0.591,0.41,2,-6.904,1,0.0487,0.296,0.0000447,0.132,0.545,171.826,4
spotify:track:4g9VvOS1WpFp2FZVSzvIZA,"Poovukkul","Jeans (Original Motion Picture Soundtrack)","Unnikrishnan,Sujatha,Vairamuthu",1998-06-27,413425,59,false,,2021-10-15T09:35:03Z,"tamil pop,kollywood,telugu pop,malayalam pop,mollywood,tamil dance","New Music",0.755,0.517,7,-9.557,1,0.0283,0.115,0.00000183,0.109,0.292,104.015,4
spotify:track:5sB3eSsUrwmFQZcKf7Z7V7,"Uppu Karuvaadu","Mudhalvan (Original Motion Picture Soundtrack)","Shankar Mahadevan,Kavita Krishnamurthy",2013-03-31,334733,48,false,,2021-10-15T09:35:03Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop,gujarati garba","Five Star Audio",0.731,0.716,7,-9.865,1,0.0841,0.53,0.0000016,0.233,0.814,99.002,4
spotify:track:2vGVScEqLhQXZNkeoDIyMP,"Urvashi Uravashi","Kaadhalan","A.R. Rahman,Suresh Peters,Shahul Hameed",2014-08-01,340480,56,false,,2024-10-03T11:54:25Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop,tamil dance,mollywood,telugu pop,tamil hip hop","Lahari Music",0.566,0.375,0,-17.643,0,0.147,0.108,0,0.106,0.749,93.502,4
spotify:track:5M4z4zaSIeSCC3wUa3nQKq,"Nila Kaaigiradhu(Male Version)","Indira","Hariharan",2014-08-01,255007,39,false,,2024-10-04T05:57:25Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop","Lahari Music",0.496,0.21,2,-14.644,1,0.0306,0.491,0,0.156,0.19,94.941,4
spotify:track:78I3dL1DhzNHX6MBKXQx8I,"Jumballakka","En Swasa Kaatre","Rafee",1999-02-26,379156,52,false,,2021-10-15T09:35:03Z,"tamil dance,tamil pop","Music Masters Audio Video LLP",0.566,0.617,5,-12.141,0,0.0661,0.191,0.000954,0.313,0.887,101.939,3
spotify:track:7HHMnYSDwFRrsPThKwp1Ba,"Kathalikkum Penin Kaikal","Kaadhalan","S. P. Balasubrahmanyam,Udit Narayan,S.P. Pallavi",2014-08-01,289306,45,false,,2024-10-03T11:54:25Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,bollywood,hindi pop,desi","Lahari Music",0.857,0.205,10,-17.393,0,0.0744,0.00654,0.000242,0.101,0.729,77.003,4
spotify:track:5LULgwaei1OGnWnbklM6GN,"Nenjinile","Uyire (Original Motion Picture Soundtrack)","S. Janaki",1998-08-21,302367,55,false,,2021-10-15T09:35:03Z,"kannada pop,tamil pop,telugu pop,sandalwood","Track Music",0.753,0.577,9,-14.632,1,0.0552,0.229,0.000279,0.0966,0.705,141.979,4
spotify:track:5LUWhfLyBZ4BoSXjFrymts,"Columbus Columbus","Jeans (Original Motion Picture Soundtrack)","A.R. Rahman,Vairamuthu",1998-06-27,292226,49,false,,2021-10-15T09:35:03Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance","New Music",0.888,0.681,11,-8.253,0,0.0757,0.0546,0.0000127,0.0569,0.738,106.039,4
spotify:track:10EWQxRXfk4eHqbHR1sQgg,"Uyirae Uyirae (From Bombay)","Love Songs of Ilaiyaraja & A. R. Rahman","Hariharan,K. S. Chithra",1992-04-28,434527,55,false,,2021-10-15T09:35:03Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,malayalam pop,kannada pop,mollywood,tollywood,sandalwood","Music Masters Audio Video LLP",0.511,0.384,3,-7.425,1,0.0268,0.208,0,0.0772,0.411,100.172,4
spotify:track:3E64lLY9TjznU4dRms7kfb,"Malargaley (From Love Birds)","Love Songs of Ilaiyaraja & A. R. Rahman","K. S. Chithra,Hariharan",1992-04-28,435600,41,false,,2023-01-10T04:20:55Z,"malayalam pop,telugu pop,kannada pop,mollywood,tamil pop,tollywood,devotional,sandalwood,bhajan,ghazal,kollywood","Music Masters Audio Video LLP",0.571,0.138,9,-21.038,1,0.118,0.306,0.00000614,0.093,0.151,87.445,4
spotify:track:065hhs8MnhsgLay10eZ9En,"Ottagtha Katikko","Gentleman","S. P. Balasubrahmanyam,S. Janaki",1993-07-13,314186,52,false,,2021-10-15T09:35:03Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood","Music Masters Audio Video LLP",0.967,0.45,10,-10.763,0,0.0896,0.0444,0.00957,0.135,0.706,120.01,4
spotify:track:5C7jL8A15C30ksUYLc4kwW,"MINSARA KANNA","A.R.RAHMAN VIBRATION","Srinivas,Nithyasree Mahadevan",2013-02-02,379440,43,false,,2021-10-15T09:35:03Z,"tamil pop,tollywood,kollywood,malayalam pop,telugu pop,devotional","Star Music",0.681,0.662,0,-9.924,1,0.0892,0.0978,0.000122,0.1,0.528,98.833,4
spotify:track:7fDspJMr8PD39mquXZffTy,"Varaaha Nathi","Sangamam","Shankar Mahadevan",1999-07-16,377644,60,false,,2021-10-15T09:35:03Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop","Music Masters Audio Video LLP",0.753,0.644,8,-8.467,1,0.0491,0.222,0.0000122,0.0824,0.792,99.98,4
spotify:track:7LG0J6KNnrqvmrCKgZ6nIt,"Rasathi","Thiruda Thiruda (Original Motion Picture Soundtrack)","A.R. Rahman,Shahul Hameed",1993-03-12,275466,47,false,,2021-10-15T09:35:03Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,telugu pop,tamil hip hop","Magnasound",0.424,0.141,6,-20.102,1,0.0345,0.755,0,0.127,0.399,130.929,4
