Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1pOMvdAhZBELRyRFH5ejfR,"Annatha Pathiya","Annatha Pathiya","Kamal Eleven",2025-03-16,66931,32,false,,1970-01-01T00:00:00Z,"tamil indie","Kamal Eleven",0.862,0.849,9,-8.752,1,0.594,0.232,0.00000245,0.168,0.0802,131.881,4
spotify:track:0S153V4UoCNI9k03bkNH1k,"Thikki Thenarudhu Devatha - Chill Lofi","Thikki Thenarudhu Devatha - Chill Lofi","Kamal Eleven,Aditya Kashap,Vandana Srinivasan",2023-08-03,94940,22,false,,1970-01-01T00:00:00Z,"tamil indie,tamil pop,kollywood","Saregama India Ltd",0.58,0.35,4,-10.621,0,0.0825,0.933,0,0.431,0.544,149.585,4
spotify:track:3ga8o2u7AcmGxv30TGPKrP,"Vaali Whistle Bgm Trap","Vaali Whistle Bgm Trap","Kamal Eleven",2022-10-06,96142,29,false,,1970-01-01T00:00:00Z,"tamil indie","Kamal Eleven",0.787,0.652,6,-8.531,1,0.0354,0.00288,0.799,0.327,0.426,110.514,4
spotify:track:6MHaLmjlTO4xRqjsZ8s1dh,"Padaiyappa Trap Bgm","Kamal Eleven Bgms","Kamal Eleven,Alfred Juwin",2021-02-02,72829,26,false,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop","Kamal Eleven records",0.765,0.67,0,-11.03,0,0.377,0.159,0.0000246,0.249,0.487,135.134,4
spotify:track:3KC6FBFcxY3XMyQAVHboUz,"Vikram Bgm (Remake)","Vikram Bgm (Remake)","Kamal Eleven,Alfred Juwin",2021-02-02,140669,26,false,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop","Kamal Eleven Records",0.615,0.422,8,-13.511,1,0.0823,0.387,0.434,0.082,0.186,169.97,4
spotify:track:0dyurLh8akfmaiTBFnCREM,"Vaseegara - Rainy Lofi","Vaseegara - Rainy Lofi","Kamal Eleven,Bombay Jayashri",2023-07-10,93870,14,false,,1970-01-01T00:00:00Z,"tamil indie,tamil pop,kollywood","Saregama India Ltd",0.447,0.339,11,-14.115,0,0.11,0.824,0.00464,0.48,0.344,142.228,4
spotify:track:4TBizKlSFEtwpoLV4IT8uj,"Padaiyappa Whistle","Padaiyappa Whistle","Kamal Eleven",2023-10-01,120122,16,false,,1970-01-01T00:00:00Z,"tamil indie","Kamal Eleven Records",0.687,0.374,5,-15.716,0,0.0323,0.435,0.0551,0.103,0.334,122.001,4
spotify:track:2EpL3jUjhk1KVaDlrhopcb,"Bgm Mashup","Kamal Eleven Bgms","Kamal Eleven,Alfred Juwin",2021-02-02,239229,19,false,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop","Kamal Eleven records",0.457,0.388,5,-10.589,1,0.0398,0.527,0.596,0.116,0.248,159.906,4
spotify:track:7g02rRaBSyVOBhOFQ6FwnC,"Yennai Theriyuma - Remix","Tamil Retro Hits - Remix","T. M. Soundararajan,Kamal Eleven",2023-02-23,112059,13,false,,1970-01-01T00:00:00Z,"devotional,tamil pop,murga,tamil indie","Saregama India Ltd",0.543,0.68,2,-10.009,1,0.221,0.57,0,0.723,0.573,157.619,3
spotify:track:1WinnmwnGII8X2dlHfUvyk,"Paartha Nyabagam Illaiyo - Chill Lofi","Paartha Nyabagam Illaiyo - Chill Lofi","Kamal Eleven,Shreya Ghoshal",2023-05-21,105000,11,false,,1970-01-01T00:00:00Z,"tamil indie,bollywood,hindi pop,desi,kannada pop,marathi pop","Saregama India Ltd",0.435,0.34,4,-14.166,0,0.0465,0.597,0.0114,0.455,0.0985,116.051,4
