Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ZU57HzgK8hWfeXcqBhWDd,"Kaaka Kadha - From Think Indie","Kaaka Kadha (From Think Indie)","vaisagh",2022-07-11,210000,50,true,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Think Music",0.877,0.494,9,-10.372,0,0.143,0.376,0,0.088,0.64,100.069,4
spotify:track:6OzhuQavVFIz1sZEpQWCw1,"En Rant Ah Konjam Kelu - From Think Indie","En Rant Ah Konjam Kelu (From Think Indie)","vaisagh",2022-12-14,204000,47,false,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Think Music",0.518,0.653,2,-8.946,1,0.124,0.377,0,0.245,0.541,123.153,4
spotify:track:3Pd4JU3FXakDWX40oJx72X,"Aval","Aval","vaisagh",2020-09-04,166500,16,false,,1970-01-01T00:00:00Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","2366675 Records DK",0.714,0.126,2,-20.32,1,0.0506,0.65,0,0.0632,0.528,119.933,3
spotify:track:4wCy7erulqUfFQNVaZBD9b,"Once Upon a Time","Vikram (Original Motion Picture Soundtrack)","Anirudh Ravichander",2022-05-15,143709,60,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.646,0.879,1,-3.668,1,0.0823,0.00659,0.0607,0.117,0.429,123.849,4
spotify:track:0RwaGnYX0R2S68hDX8Doks,"Chola Chola (From Ponniyin Selvan Part - 1)","Ponniyin Selvan Part - 1 (Original Motion Picture Soundtrack)","A.R. Rahman,Sathyaprakash,V.M. Mahalingam,Nakul Abhyankar,Ilango Krishnan",2022-09-07,219638,55,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil indie,tamil dance,tamil hip hop,kannada pop,sandalwood,tollywood","Tips Industries Ltd",0.76,0.667,5,-9.576,0,0.168,0.312,0,0.166,0.724,99.947,4
spotify:track:3sADIxdWSqth6yd5lAoz5c,"Ponni Nadhi (From Ponniyin Selvan Part - 1)","Ponni Nadhi (From Ponniyin Selvan Part - 1)","A.R. Rahman,A. R. Reihana,Bamba Bakya,Ilango Krishnan",2022-07-31,290526,50,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil indie,tamil dance","Tips Industries Ltd",0.688,0.668,8,-8.709,1,0.132,0.121,0,0.298,0.588,151.989,4
spotify:track:12LE4Omy9ze8xTOMofMVB3,"Porkanda Singam (EDM Version) [From Vikram]","Porkanda Singam (EDM Version) [From Vikram]","Anirudh Ravichander",2022-06-24,149433,53,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.685,0.755,11,-6.045,0,0.0476,0.102,0.194,0.159,0.422,158.932,4
spotify:track:7e97QgqoYTXOj1s7JI0dHR,"Otha Thamarai - Original Soundtrack","Otha Thamarai (Original Soundtrack)","Bala,Nixen,Sandy Sandellow",2022-04-29,219923,48,false,,1970-01-01T00:00:00Z,"tamil indie,tamil pop,kollywood,tamil hip hop","Voni Music",0.541,0.744,7,-6.191,0,0.295,0.507,0,0.26,0.877,194.976,3
spotify:track:38lQQdlbSMnHq3rjW9Vzhj,"Nee Kavithaigala - From Maragatha Naanayam","I Love Pradeep Kumar","Dhibu Ninan Thomas,Pradeep Kumar",2018-06-12,276250,56,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood","Think Music",0.586,0.541,4,-5.647,0,0.0272,0.454,0.00000292,0.121,0.413,130.055,3
spotify:track:36TUJPlbeuIAwq5X5W5ZaR,"Innum Enna Thozha","7 Aum Arivu (Original Motion Picture Soundtrack)","Harris Jayaraj,Balram,Naresh Iyer,Suchith Suresan",2011-09-22,298680,48,false,,1970-01-01T00:00:00Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,mollywood,malayalam pop","Sony Music Entertainment India Pvt. Ltd.",0.743,0.619,7,-7.926,1,0.0335,0.406,0.0000155,0.0757,0.619,110.006,4
