Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0SSLKt27B0a71OqsPy0uoY,"Siragugal","Sarvam","Yuvan Shankar Raja,Javed Ali,Madhushree",2009-02-14,325930,0,false,mans043,2018-12-12T21:39:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop","Eros Ayangaran",0.642,0.911,10,-3.322,0,0.156,0.216,0.000148,0.102,0.61,170.015,4
spotify:track:6dZCuf6SGn2rh9q94JBLlv,"Idhu Varai","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Ajesh,Andrea Jeremiah",2010-01-01,284480,63,false,mans043,2018-12-12T21:40:11Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:4Yy2VhegGoOHKNY1uDyZMM,"Loosu Pennae","Vallavan (Original Motion Picture Soundtrack)","Silambarasan TR,Blaaze",2006-06-01,407447,0,false,mans043,2018-12-12T21:40:14Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Eros Ayangaran",0.669,0.53,5,-6.827,0,0.126,0.499,0.000484,0.099,0.522,192.383,4
spotify:track:4I91lJWD0Fgbo1KQ0vHJlS,"Ammadi Aathadi","Vallavan (Original Motion Picture Soundtrack)","Silambarasan TR,T. Rajendar,Suchitra,Mahathi",2006-06-01,326069,0,false,mans043,2018-12-12T21:40:28Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Eros Ayangaran",0.732,0.823,10,-7.724,0,0.245,0.377,0.0000718,0.0929,0.681,160.193,4
spotify:track:3FfneBocoFOqrWyzOZBO8G,"Pani Thuli","Kanda Naal Mudhal","Yuvan Shankar Raja,Shreya Ghoshal,KK",2005-08-16,343205,0,false,mans043,2018-12-12T21:40:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi,kannada pop,marathi pop","Eros Ayangaran",0.723,0.624,5,-6.023,0,0.0688,0.117,0.00000532,0.0819,0.688,169.95,4
spotify:track:4O1e7nDrPuFxN0nj7J3SOm,"Namma Kattula - Language:Tamil;Film:Pattiyal;Film Artiest:Arya Bharath Pooja Padmapriya","Pattiyal","Ilaya Raja Roshini",2006-01-01,234680,0,false,mans043,2018-12-12T21:40:39Z,"","Roja/Mass Audio",0.866,0.653,2,-7.006,1,0.0569,0.0301,0,0.196,0.311,105.005,4
spotify:track:5iN5Cqt5FIN2Etm7DOAqEf,"Yaar Solli","Pathinaru","Yuvan Shankar Raja",2010-12-23,395934,0,false,mans043,2018-12-12T21:40:53Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.613,0.575,2,-8.283,1,0.0358,0.232,0.154,0.076,0.125,169.99,4
spotify:track:366DHYNnzuV8inhDMRKRTR,"Hey Sala","Aegan (Original Motion Picture Soundtrack)","Blaze,Naresh Iyer,Md Aslam",2008-10-09,304076,0,false,mans043,2018-12-12T21:40:58Z,"tamil pop,kollywood,tollywood,telugu pop,tamil dance","Eros Now Music",0.809,0.885,2,-7.112,1,0.0471,0.192,0.0000604,0.154,0.939,110.008,4
spotify:track:56UONZTCxmFM0aQFrCLh5M,"Yaar Intha","Boss (A) Baskaran","Think Music",2010-08-27,304352,0,false,mans043,2018-12-12T21:41:04Z,"","Think Music",0.842,0.446,7,-7.989,0,0.041,0.0396,0,0.0557,0.584,109.986,4
spotify:track:0elBHUZsmKWSDVgwjWrGsF,"Boss Boss","Boss (A) Baskaran","Think Music",2010-08-27,238994,0,false,mans043,2018-12-12T21:41:17Z,"","Think Music",0.81,0.93,2,-5.564,1,0.0437,0.208,0.131,0.0573,0.868,119.999,4
spotify:track:2leD17DdNbcq55Jld8UFht,"Eno Kangal","Kalvanin Kadhali","Yuvan Shankar Raja,Sadhana Sargam",2005-11-29,329186,0,false,mans043,2018-12-12T21:41:24Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood","Eros Ayangaran",0.779,0.749,1,-8.671,0,0.0452,0.216,0.0000106,0.065,0.798,109.995,4
spotify:track:2yzAJ3au0Bj8dAAflZCCjp,"Rasathi","Avan Ivan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Haricharan",2011-04-18,293013,44,false,mans043,2018-12-12T21:41:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.77,0.665,8,-5.784,1,0.0698,0.121,0.000259,0.114,0.436,104.973,4
spotify:track:5jXrULyYKHjkAMk4TXZFoG,"Kaadhal Endral","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,87133,58,false,mans043,2018-12-12T21:41:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.638,0.324,0,-7.787,0,0.0321,0.923,0.0000335,0.151,0.446,129.932,4
spotify:track:2f4x30AcgiQdVlMyY7ZvkY,"Theeratha Vilaiyattu","Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Andrea Jeremiah,Tanvi Shah,Ranjith Govind,Vinaita Sivakumar",2009-12-11,295013,46,false,mans043,2018-12-12T21:41:54Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.714,0.673,7,-5.924,0,0.0447,0.00842,0.223,0.164,0.66,130.011,4
spotify:track:2O2ojTSsgwXNzjun55cfcN,"Iyley Iyley","Boss (A) Baskaran","Think Music",2010-08-27,304404,0,false,mans043,2018-12-12T21:41:56Z,"","Think Music",0.784,0.697,7,-6.274,0,0.0576,0.017,0.00219,0.377,0.549,94.999,4
spotify:track:5MGdVJRHRfZ95yWQ2hCwRC,"Yedho Mayakkam","Billa 2 (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Tanvi Shah,SUVI",2012-05-01,262533,49,false,mans043,2018-12-12T21:42:04Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.8,0.751,1,-4.972,1,0.0347,0.00194,0.437,0.0676,0.354,121.983,4
spotify:track:74KVnRz62agLGzRCTVFUdQ,"Madurai Ponnu","Billa 2 (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Andrea Jeremiah",2012-05-01,235853,49,false,mans043,2018-12-12T21:42:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.831,0.746,5,-6.113,0,0.0407,0.0639,0.00373,0.0673,0.756,120.02,4
spotify:track:2aCYl4eGvvk1aOZTuN6cKN,"Tajmahal Oviyakkadhal","Kalvanin Kadhali","Yuvan Shankar Raja,Vijay Yesudas,Madhumitha",2005-11-29,304960,0,false,mans043,2018-12-12T21:42:22Z,"tamil pop,kollywood,tamil dance,tamil hip hop,malayalam pop,mollywood","Eros Ayangaran",0.66,0.621,3,-9.603,0,0.0407,0.239,0.00000962,0.0952,0.529,119.962,4
spotify:track:47TnnllyvUDTevPWHxuSQw,"Uyir Piriyum Valiyai","Kalvanin Kadhali","Yuvan Shankar Raja,Ranjith Govind",2005-11-29,138453,0,false,mans043,2018-12-12T21:42:25Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood","Eros Ayangaran",0.486,0.329,0,-10.346,0,0.0406,0.713,0.0000026,0.0781,0.323,89.724,4
spotify:track:0j0M4zXX65TIXmZsrIF7U8,"Ivan Kattil","Kalvanin Kadhali","Yuvan Shankar Raja,Clinton Cerejo",2005-11-29,264093,0,false,mans043,2018-12-12T21:42:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood","Eros Ayangaran",0.791,0.841,1,-9.9,1,0.0902,0.0715,0.12,0.117,0.702,134.976,4
spotify:track:6r7crctA1WVyWL925wVDEf,"Idhu Kaadhala","Thiruvilayadal Arambam/Thulluvadho Elamai","Yuvan Shankar Raja",2006-01-01,271586,0,false,mans043,2018-12-12T21:42:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Saregama",0.723,0.706,0,-9.01,0,0.0423,0.0759,0.00109,0.674,0.554,132.972,4
spotify:track:19MRAxznRvejs0DNu8MhoC,"Aathadi Manasudhan","Kazhugoo (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Priya Hemesh",2011-11-23,309666,50,false,mans043,2018-12-12T21:42:48Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.639,0.476,3,-7.675,0,0.043,0.138,0.0523,0.0865,0.353,160.093,4
spotify:track:6YcBBZVKYYRirfeAt6BeGA,"Machi Open the Bottle","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Mano,Premgi Amaren,Tippu,Haricharan,Naveen Madhav",2011-08-10,285973,61,false,mans043,2018-12-12T21:43:07Z,"tamil pop,kollywood,tamil dance,tamil hip hop,kannada pop,telugu pop,tollywood,sandalwood,mollywood,malayalam pop","Sony Music Entertainment India Pvt. Ltd.",0.485,0.92,5,-6.243,1,0.277,0.664,0.000339,0.216,0.767,169.944,4
spotify:track:0uVrPeEM1Q02sbGA3zJ3CC,"Nanbane","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Madhushree",2011-08-10,302600,56,false,mans043,2018-12-12T21:43:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.451,0.306,2,-6.325,0,0.0403,0.82,0.00544,0.207,0.262,102.659,4
spotify:track:3RsEmtEJdqqeugDvxOLo2u,"Goa - Club Mix","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,306386,37,false,mans043,2018-12-12T21:43:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.748,0.827,1,-5.804,1,0.0398,0.0127,0.0231,0.335,0.672,129.981,4
spotify:track:4qbH2EQ2d3cGqtIT8gIlhG,"Vaada Bin Laada","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Krishh,Suchitra",2011-08-10,269266,49,false,mans043,2018-12-12T21:43:59Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.79,0.784,10,-6.31,0,0.0421,0.147,0.00303,0.109,0.399,119.956,4
spotify:track:5wHRzbzZhlrFClgnoeRXWW,"Unn Badhil Vendi","Taramani (Original Motion Picture Soundtrack)","Yuvan Shankar RajaSiddharthSruthi S",2016-12-31,262999,0,false,mans043,2018-12-12T21:46:42Z,"","Divo",0.416,0.512,3,-6.994,0,0.0526,0.686,0.00000176,0.111,0.184,164.867,4
