Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3eVkn2lYFVq8vZNDR0gf1Z,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2005-12-15,382066,0,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:08Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.72,0.533,6,-6.43,1,0.0407,0.301,0.0000239,0.0773,0.75,80,4
spotify:track:6dZCuf6SGn2rh9q94JBLlv,"Idhu Varai","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Ajesh,Andrea Jeremiah",2010-01-01,284480,63,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:17Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:3XEoa8R8XtnVV67uurLZsJ,"Aedho Saigirai (From Vaamanan)","My Playlist: Yuvanshankar Raja","Yuvan Shankar Raja,Javed Ali,Sowmya Raoh",2014-08-18,292960,45,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:27Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.639,0.64,0,-8.381,0,0.0321,0.167,0.00116,0.0937,0.366,84.987,4
spotify:track:0uVrPeEM1Q02sbGA3zJ3CC,"Nanbane","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Madhushree",2011-08-10,302600,56,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:34Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.451,0.306,2,-6.325,0,0.0403,0.82,0.00544,0.207,0.262,102.659,4
spotify:track:0J1jYE3nsf7VoSumJSiVOD,"Kaatrukullai","Sarvam","Yuvan Shankar Raja",2009-02-14,264532,0,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:40Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.805,0.588,5,-5.786,0,0.0311,0.431,0.00124,0.118,0.518,119.99,4
spotify:track:5TL3UHuEBRMPbAIAOiPJmc,"Enkeyoo Partha","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Udit Narayan",2008-10-17,320960,68,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:48Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Think Music (India)",0.822,0.446,7,-8.899,0,0.0321,0.486,0.00102,0.147,0.654,119.994,4
spotify:track:5jXrULyYKHjkAMk4TXZFoG,"Kaadhal Endral","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,87133,58,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:18:55Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.638,0.324,0,-7.787,0,0.0321,0.923,0.0000335,0.151,0.446,129.932,4
spotify:track:5BYyEjrCDVqtppYcxsXqZs,"Pogadhe","Deepavali (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2007-01-05,330400,0,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:19:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.655,0.518,4,-8.084,1,0.0349,0.724,0.0000028,0.145,0.122,80.152,4
spotify:track:7vR8sGqVg5HMEOEvECdzlQ,"En Kadhal Solla (From Paiya)","Voice of Yuvanshankar Raja Vol. 2","Yuvan Shankar Raja,Tanvi Shah",2013-07-10,293893,55,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:19:08Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4
spotify:track:5I09bcjyhaIe6PbWv8nhsM,"Neethane","Sarvam","Yuvan Shankar Raja",2009-02-14,313997,0,false,auckpjkpo7mkzblk4ia6wpqga,2021-08-20T17:19:18Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.712,0.854,0,-3.8,0,0.0355,0.538,0.00692,0.0493,0.48,110.016,4
