Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zTr8wJO9ZAYDJkpWC1Kpe,"Kadhal Valarthen","Manmadhan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,KK",2016-11-07,449613,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:04:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","VMS Music Records and Publishing Sdn Bhd",0.715,0.641,5,-7.273,0,0.0516,0.457,0.00000187,0.137,0.515,122.93,4
spotify:track:3c1tJAYgROZEdqRfm7Wsny,"Yedho Ondru Ennai","Paiya (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-22,213520,59,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:05:01Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music (India)",0.858,0.447,10,-7.917,1,0.0343,0.67,0.0000919,0.0738,0.256,119.98,4
spotify:track:6Z8oU8xMOie24Cflh2Sw6p,"Venmegam","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Hariharan",2008-10-17,274853,68,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:05:12Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bhajan,ghazal,devotional,telugu pop","Think Music (India)",0.803,0.426,3,-11.54,1,0.0742,0.418,0.0000223,0.11,0.556,114.945,4
spotify:track:0JuaXl4QvqqaSAzjx9lFN8,"Ninaithu Ninaithuu","7/G Rainbow Colony (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,KK",2013-03-28,315480,46,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:06:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood,hindi pop,desi","Five Star Audio",0.67,0.274,0,-10.792,1,0.0361,0.802,0.0000515,0.255,0.199,131.919,4
spotify:track:5BYyEjrCDVqtppYcxsXqZs,"Pogadhe","Deepavali (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2007-01-05,330400,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:07:45Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.655,0.518,4,-8.084,1,0.0349,0.724,0.0000028,0.145,0.122,80.152,4
spotify:track:0eU9v8Hp5NS4fwK39buX3S,"Sollamal Thottu Chellum Thendral","Yuvan Shankar Raja","Dj Shainth",2019-04-16,63594,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:08:42Z,"tamil hip hop,tamil indie,tamil dance","Dj Shainth Presents",0.798,0.314,10,-9.76,0,0.0308,0.141,0.000891,0.578,0.835,90.905,4
spotify:track:27kBsV6kTd88QA3aR5Lzs5,"Kanaa Kaanum","7/G Rainbow Colony (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Na.Muthukumar",2013-03-28,329926,48,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:11:34Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Five Star Audio",0.777,0.635,10,-8.99,0,0.0783,0.282,0.00000241,0.111,0.361,100,4
spotify:track:5Y0QVhEhFplmpgqlJ95Ai1,"Mun Paniya","Nandha (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam,Malgudi Subha,Palani Bharathi",2001-10-16,340244,55,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:12:05Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,tamil dance","Five Star Audio",0.668,0.281,5,-16.017,0,0.0517,0.378,0,0.11,0.487,119.95,4
spotify:track:6MnXtzaXUOYQ3SbPuqpZaz,"Kaadhal Vaithu","Deepavali (Original Motion Picture Soundtrack)","Vijay Yesudas",2007-01-05,309000,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:13:45Z,"malayalam pop,mollywood,tamil pop,kollywood","Ayngaran",0.659,0.776,10,-8,0,0.0373,0.0268,0.0674,0.197,0.669,100.247,4
spotify:track:7fu8lcM9N3rVjWZr9ky6Nd,"Kan Pesum Varthaigal","7/G Rainbow Colony (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Karthik",2013-03-28,348290,60,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:15:20Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Five Star Audio",0.77,0.731,10,-9.328,0,0.0597,0.0811,0.0255,0.0746,0.856,80.99,4
spotify:track:3hw1iGc2WAhHG4DFPcu80r,"Loosu Pennae","Vallavan (Original Motion Picture Soundtrack)","Silambarasan TR,Blaaze",2006-06-01,407447,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:16:10Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Ayngaran",0.669,0.53,5,-6.827,0,0.126,0.499,0.000484,0.099,0.522,192.383,4
spotify:track:6dZCuf6SGn2rh9q94JBLlv,"Idhu Varai","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Ajesh,Andrea Jeremiah",2010-01-01,284480,63,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:17:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.67,0.517,5,-6.963,0,0.039,0.481,0.0000249,0.217,0.615,77.514,4
spotify:track:6za4Yd70PSnqDKFFgILoyR,"Natpukulle","Chennai-600028 (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2013-04-19,155480,48,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:25:56Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Five Star Audio",0.787,0.388,0,-9.631,1,0.0327,0.0467,0.0000233,0.113,0.762,114.955,4
spotify:track:5jXrULyYKHjkAMk4TXZFoG,"Kaadhal Endral","Goa (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-01-01,87133,58,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:26:16Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.638,0.324,0,-7.787,0,0.0321,0.923,0.0000335,0.151,0.446,129.932,4
spotify:track:6XeJ4zrJoEGr3jbgO6duJl,"En Nenjil","Baana Kaathadi (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Sadhana Sargam",2010-04-30,305333,55,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:26:45Z,"tamil pop,kollywood,tamil dance,tamil hip hop,bollywood","Think Music (India)",0.681,0.658,8,-8.856,1,0.0444,0.633,0.00262,0.16,0.585,144.857,4
spotify:track:3F0QkJgY8l1PXE8cEN7W54,"En Anbay","Mounam Pesiyathe (Original Motion Picture Soundtrack)","Shankar Mahadevan",2001-04-19,286400,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:27:06Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop","New Music",0.656,0.605,11,-10.932,1,0.139,0.35,0.00000481,0.126,0.178,112.003,4
spotify:track:3Vjfh7FoOIg6lRDsFNbVv7,"Vaanam","Vaanam (Original Motion Picture Soundtrack)","Yuvan Shankar Raja",2010-11-28,224106,54,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:27:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ishtar Music Pvt. Ltd.",0.573,0.549,0,-4.448,0,0.0269,0.269,0.0000897,0.383,0.311,113.99,4
spotify:track:5S1saVRzd6CxpTCCRYsGIg,"Manasae Manasae","April Madhathil (Original Motion Picture Soundtrack)","Yuvan Shankar Raja,Karthik",2002-11-10,285986,39,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:32:49Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Divo",0.755,0.482,8,-8.645,1,0.0446,0.312,0.0000518,0.118,0.205,105.023,4
spotify:track:5BjvsB6Yg1TSXDI7XcgWYO,"Aaraaroo","Aadhalal Kadhal Seiveer","Yuvan Shankar Raja",2013-08-15,328285,41,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:47:31Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Saregama",0.584,0.366,5,-8.958,0,0.0327,0.757,0.0000218,0.0696,0.0723,139.903,4
spotify:track:3eVkn2lYFVq8vZNDR0gf1Z,"Oru Naalil","Pudhupettai","Yuvan Shankar Raja",2005-12-15,382066,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2020-12-19T18:48:06Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Ayngaran",0.72,0.533,6,-6.43,1,0.0407,0.301,0.0000239,0.0773,0.75,80,4
spotify:track:75D1UiVMf8wOhNQCCaSU3c,"Thottu Thottu","Kadhal Kondaen","Harish Raghavendra",2003-04-16,315984,52,false,31n5gwhjzxxpmb4r67rjknj3jube,2021-03-02T04:42:54Z,"tamil pop,kollywood,telugu pop,tollywood","Five Star Audio",0.789,0.727,1,-9.534,1,0.0709,0.646,0.000355,0.099,0.581,94.9,4
spotify:track:31bvpbj5gZ06en7mDtSdY5,"Vidiginidra Pozhudhu","Raam (Original Motion Picture Soundtrack)","Madhumitha",2005-02-25,239400,0,false,31n5gwhjzxxpmb4r67rjknj3jube,2021-03-02T04:44:07Z,"tamil pop","VMS Music Records and Publishing Sdn Bhd",0.926,0.475,7,-10.115,0,0.0455,0.487,0.0005,0.24,0.773,116.005,4
